Experiment Index,Config,Final Train Acc,Final Test Acc,Avg Train Acc,Avg Test Acc,Abs Error,Execution Time
1,[4-32-256-2048],0.8960833333333333,0.8812,0.8869604166666667,0.8756790000000001,0.0112814166666666,2165.297941684723
2,[2048-256-32-4],0.20381666666666667,0.2096,0.6754300000000001,0.6673075,0.008122500000000032,6646.347771406174
3,[329-329-329-329],0.4752,0.4706,0.8094661666666667,0.7979305,0.011535666666666722,1909.8676552772522
4,[32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32],0.11236666666666667,0.1135,0.11118800000000004,0.11205849999999998,0.0008704999999999408,708.6705696582794
5,[1024-1024-1024-1024-1024-1024-1024-1024],0.11236666666666667,0.1135,0.2400966666666666,0.24073550000000005,0.0006388333333334495,23149.41184592247
