Epoch,Training Accuracy,Test Accuracy
1,0.9466,0.9465
2,0.9698,0.9609
3,0.9754,0.9681
4,0.9774,0.9668
5,0.9803,0.9673
6,0.9807,0.9692
7,0.9760,0.9641
8,0.9797,0.9630
9,0.9863,0.9713
10,0.9849,0.9710
11,0.9868,0.9705
12,0.9879,0.9729
13,0.9875,0.9717
14,0.9856,0.9690
15,0.9893,0.9700
16,0.9864,0.9647
17,0.9863,0.9674
18,0.9882,0.9676
19,0.9869,0.9669
20,0.9885,0.9697
21,0.9879,0.9698
22,0.9887,0.9702
23,0.9866,0.9676
24,0.9916,0.9709
25,0.9912,0.9721
26,0.9904,0.9696
27,0.9932,0.9731
28,0.9923,0.9714
29,0.9940,0.9717
30,0.9933,0.9721
31,0.9931,0.9702
32,0.9919,0.9709
33,0.9934,0.9693
34,0.9938,0.9725
35,0.9921,0.9689
36,0.9930,0.9684
37,0.9909,0.9716
38,0.9948,0.9726
39,0.9931,0.9712
40,0.9941,0.9716
41,0.9932,0.9724
42,0.9931,0.9734
43,0.9917,0.9691
44,0.9970,0.9731
45,0.9958,0.9725
46,0.9935,0.9703
47,0.9951,0.9701
48,0.9935,0.9715
49,0.9957,0.9720
50,0.9954,0.9721
51,0.9943,0.9704
52,0.9950,0.9699
53,0.9941,0.9715
54,0.9957,0.9724
55,0.9957,0.9703
56,0.9958,0.9721
57,0.9940,0.9717
58,0.9962,0.9741
59,0.9959,0.9733
60,0.9947,0.9718
61,0.9973,0.9729
62,0.9978,0.9725
63,0.9964,0.9718
64,0.9939,0.9694
65,0.9967,0.9731
66,0.9958,0.9718
67,0.9949,0.9719
68,0.9956,0.9716
69,0.9972,0.9738
70,0.9962,0.9709
71,0.9961,0.9721
72,0.9968,0.9697
73,0.9964,0.9714
74,0.9953,0.9720
75,0.9959,0.9741
76,0.9960,0.9727
77,0.9966,0.9731
78,0.9955,0.9730
79,0.9950,0.9717
80,0.9962,0.9745
81,0.9963,0.9749
82,0.9974,0.9736
83,0.9948,0.9731
84,0.9970,0.9748
85,0.9971,0.9726
86,0.9964,0.9742
87,0.9963,0.9722
88,0.9970,0.9729
89,0.9977,0.9732
90,0.9966,0.9718
91,0.9971,0.9710
92,0.9970,0.9721
93,0.9972,0.9710
94,0.9952,0.9720
95,0.9982,0.9743
96,0.9980,0.9729
97,0.9967,0.9727
98,0.9974,0.9722
99,0.9980,0.9723
100,0.9974,0.9718
101,0.9977,0.9724
102,0.9978,0.9733
103,0.9972,0.9717
104,0.9973,0.9737
105,0.9973,0.9730
106,0.9977,0.9736
107,0.9970,0.9719
108,0.9978,0.9740
109,0.9980,0.9737
110,0.9967,0.9731
111,0.9982,0.9749
112,0.9977,0.9733
113,0.9974,0.9719
114,0.9968,0.9724
115,0.9979,0.9735
116,0.9972,0.9736
117,0.9978,0.9746
118,0.9982,0.9731
119,0.9986,0.9746
120,0.9977,0.9750
121,0.9974,0.9737
122,0.9975,0.9739
123,0.9980,0.9732
124,0.9968,0.9734
125,0.9974,0.9705
126,0.9978,0.9713
127,0.9982,0.9740
128,0.9975,0.9700
129,0.9977,0.9745
130,0.9987,0.9742
131,0.9983,0.9717
132,0.9987,0.9732
133,0.9988,0.9732
134,0.9975,0.9729
135,0.9980,0.9718
136,0.9989,0.9726
137,0.9967,0.9730
138,0.9977,0.9732
139,0.9968,0.9714
140,0.9985,0.9719
141,0.9975,0.9718
142,0.9988,0.9733
143,0.9970,0.9732
144,0.9978,0.9740
145,0.9981,0.9748
146,0.9993,0.9738
147,0.9977,0.9721
148,0.9983,0.9732
149,0.9983,0.9740
150,0.9979,0.9721
151,0.9985,0.9735
152,0.9976,0.9710
153,0.9983,0.9723
154,0.9983,0.9737
155,0.9970,0.9726
156,0.9989,0.9742
157,0.9980,0.9733
158,0.9976,0.9749
159,0.9982,0.9735
160,0.9986,0.9743
161,0.9981,0.9738
162,0.9976,0.9720
163,0.9983,0.9739
164,0.9987,0.9738
165,0.9984,0.9743
166,0.9972,0.9738
167,0.9981,0.9725
168,0.9986,0.9742
169,0.9985,0.9732
170,0.9992,0.9737
171,0.9980,0.9734
172,0.9982,0.9743
173,0.9986,0.9722
174,0.9990,0.9750
175,0.9984,0.9734
176,0.9983,0.9728
177,0.9987,0.9744
178,0.9985,0.9743
179,0.9975,0.9717
180,0.9956,0.9711
181,0.9986,0.9721
182,0.9982,0.9740
183,0.9989,0.9742
184,0.9989,0.9739
185,0.9988,0.9747
186,0.9978,0.9737
187,0.9979,0.9715
188,0.9992,0.9732
189,0.9974,0.9718
190,0.9960,0.9717
191,0.9984,0.9716
192,0.9987,0.9740
193,0.9984,0.9727
194,0.9984,0.9743
195,0.9986,0.9749
196,0.9972,0.9714
197,0.9990,0.9753
198,0.9989,0.9750
199,0.9989,0.9762
200,0.9990,0.9733
