Epoch,Training Accuracy,Test Accuracy
1,0.9644,0.9590
2,0.9689,0.9566
3,0.9817,0.9727
4,0.9842,0.9732
5,0.9846,0.9707
6,0.9853,0.9723
7,0.9873,0.9753
8,0.9887,0.9720
9,0.9873,0.9732
10,0.9903,0.9735
11,0.9915,0.9742
12,0.9885,0.9726
13,0.9929,0.9766
14,0.9909,0.9740
15,0.9885,0.9713
16,0.9908,0.9727
17,0.9945,0.9778
18,0.9887,0.9712
19,0.9912,0.9742
20,0.9918,0.9734
21,0.9912,0.9728
22,0.9946,0.9776
23,0.9942,0.9787
24,0.9949,0.9755
25,0.9942,0.9751
26,0.9941,0.9771
27,0.9950,0.9770
28,0.9946,0.9766
29,0.9948,0.9768
30,0.9912,0.9715
31,0.9963,0.9790
32,0.9960,0.9783
33,0.9951,0.9764
34,0.9958,0.9784
35,0.9941,0.9755
36,0.9948,0.9750
37,0.9942,0.9733
38,0.9959,0.9763
39,0.9957,0.9774
40,0.9942,0.9763
41,0.9949,0.9769
42,0.9964,0.9753
43,0.9951,0.9733
44,0.9966,0.9734
45,0.9963,0.9762
46,0.9965,0.9775
47,0.9975,0.9765
48,0.9976,0.9773
49,0.9972,0.9750
50,0.9935,0.9725
51,0.9964,0.9757
52,0.9947,0.9746
53,0.9957,0.9757
54,0.9961,0.9754
55,0.9977,0.9761
56,0.9969,0.9776
57,0.9976,0.9790
58,0.9973,0.9771
59,0.9977,0.9780
60,0.9980,0.9770
61,0.9957,0.9764
62,0.9979,0.9786
63,0.9971,0.9770
64,0.9973,0.9767
65,0.9956,0.9746
66,0.9981,0.9792
67,0.9987,0.9785
68,0.9984,0.9776
69,0.9951,0.9728
70,0.9983,0.9766
71,0.9986,0.9780
72,0.9981,0.9789
73,0.9965,0.9747
74,0.9977,0.9757
75,0.9978,0.9782
76,0.9978,0.9769
77,0.9972,0.9796
78,0.9983,0.9784
79,0.9983,0.9779
80,0.9982,0.9781
81,0.9982,0.9784
82,0.9987,0.9778
83,0.9972,0.9772
84,0.9978,0.9772
85,0.9983,0.9782
86,0.9986,0.9788
87,0.9979,0.9777
88,0.9984,0.9796
89,0.9981,0.9806
90,0.9986,0.9802
91,0.9991,0.9808
92,0.9972,0.9782
93,0.9972,0.9772
94,0.9983,0.9790
95,0.9980,0.9781
96,0.9985,0.9788
97,0.9986,0.9773
98,0.9987,0.9787
99,0.9988,0.9798
100,0.9982,0.9777
101,0.9980,0.9777
102,0.9971,0.9769
103,0.9987,0.9763
104,0.9984,0.9790
105,0.9990,0.9796
106,0.9978,0.9775
107,0.9982,0.9772
108,0.9989,0.9776
109,0.9981,0.9753
110,0.9979,0.9778
111,0.9985,0.9785
112,0.9991,0.9792
113,0.9969,0.9768
114,0.9981,0.9768
115,0.9991,0.9798
116,0.9986,0.9792
117,0.9983,0.9779
118,0.9990,0.9794
119,0.9984,0.9778
120,0.9990,0.9799
121,0.9980,0.9772
122,0.9990,0.9788
123,0.9978,0.9778
124,0.9983,0.9787
125,0.9991,0.9791
126,0.9988,0.9786
127,0.9987,0.9775
128,0.9993,0.9793
129,0.9987,0.9791
130,0.9987,0.9804
131,0.9992,0.9777
132,0.9990,0.9780
133,0.9984,0.9771
134,0.9983,0.9778
135,0.9987,0.9784
136,0.9986,0.9778
137,0.9993,0.9794
138,0.9987,0.9796
139,0.9991,0.9799
140,0.9989,0.9764
141,0.9988,0.9793
142,0.9982,0.9784
143,0.9993,0.9792
144,0.9982,0.9768
145,0.9988,0.9785
146,0.9992,0.9802
147,0.9994,0.9784
148,0.9988,0.9789
149,0.9993,0.9794
150,0.9995,0.9789
151,0.9988,0.9774
152,0.9987,0.9761
153,0.9992,0.9798
154,0.9990,0.9794
155,0.9990,0.9800
156,0.9986,0.9787
157,0.9991,0.9800
158,0.9989,0.9796
159,0.9992,0.9798
160,0.9992,0.9792
161,0.9994,0.9809
162,0.9991,0.9773
163,0.9996,0.9788
164,0.9993,0.9792
165,0.9987,0.9788
166,0.9984,0.9783
167,0.9992,0.9809
168,0.9992,0.9805
169,0.9996,0.9795
170,0.9993,0.9796
171,0.9988,0.9771
172,0.9994,0.9776
173,0.9994,0.9773
174,0.9988,0.9771
175,0.9989,0.9799
176,0.9989,0.9797
177,0.9990,0.9792
178,0.9989,0.9793
179,0.9991,0.9791
180,0.9997,0.9805
181,0.9994,0.9775
182,0.9980,0.9789
183,0.9986,0.9788
184,0.9989,0.9786
185,0.9991,0.9802
186,0.9989,0.9799
187,0.9990,0.9783
188,0.9992,0.9807
189,0.9990,0.9791
190,0.9993,0.9790
191,0.9992,0.9787
192,0.9993,0.9787
193,0.9990,0.9781
194,0.9997,0.9785
195,0.9987,0.9784
196,0.9993,0.9778
197,0.9994,0.9782
198,0.9987,0.9774
199,0.9990,0.9796
200,0.9994,0.9793
