Epoch,Training Accuracy,Test Accuracy
1,0.9578,0.9553
2,0.9656,0.9590
3,0.9713,0.9625
4,0.9686,0.9586
5,0.9681,0.9611
6,0.9741,0.9614
7,0.9761,0.9670
8,0.9797,0.9680
9,0.9773,0.9664
10,0.9807,0.9715
11,0.9844,0.9704
12,0.9831,0.9715
13,0.9825,0.9719
14,0.9819,0.9688
15,0.9837,0.9708
16,0.9840,0.9714
17,0.9872,0.9733
18,0.9819,0.9699
19,0.9810,0.9657
20,0.9875,0.9696
21,0.9848,0.9699
22,0.9856,0.9697
23,0.9893,0.9746
24,0.9843,0.9692
25,0.9892,0.9738
26,0.9903,0.9758
27,0.9872,0.9713
28,0.9877,0.9699
29,0.9919,0.9755
30,0.9802,0.9648
31,0.9905,0.9748
32,0.9868,0.9708
33,0.9910,0.9737
34,0.9910,0.9737
35,0.9855,0.9677
36,0.9902,0.9728
37,0.9901,0.9743
38,0.9893,0.9731
39,0.9851,0.9691
40,0.9909,0.9730
41,0.9916,0.9725
42,0.9927,0.9752
43,0.9890,0.9696
44,0.9856,0.9683
45,0.9869,0.9678
46,0.9900,0.9724
47,0.9910,0.9747
48,0.9856,0.9674
49,0.9908,0.9726
50,0.9930,0.9739
51,0.9881,0.9670
52,0.9881,0.9694
53,0.9916,0.9691
54,0.9876,0.9682
55,0.9899,0.9730
56,0.9927,0.9741
57,0.9913,0.9726
58,0.9924,0.9714
59,0.9922,0.9733
60,0.9947,0.9745
61,0.9925,0.9726
62,0.9847,0.9619
63,0.9915,0.9716
64,0.9916,0.9727
65,0.9910,0.9722
66,0.9895,0.9669
67,0.9930,0.9739
68,0.9891,0.9700
69,0.9935,0.9751
70,0.9897,0.9688
71,0.9945,0.9750
72,0.9935,0.9743
73,0.9922,0.9719
74,0.9916,0.9727
75,0.9802,0.9618
76,0.9928,0.9726
77,0.9930,0.9732
78,0.9857,0.9653
79,0.9935,0.9726
80,0.9926,0.9750
81,0.9883,0.9675
82,0.9851,0.9633
83,0.9913,0.9706
84,0.9932,0.9718
85,0.9830,0.9618
86,0.9905,0.9681
87,0.9896,0.9697
88,0.9911,0.9708
89,0.9687,0.9424
90,0.9838,0.9649
91,0.9932,0.9729
92,0.9934,0.9733
93,0.9893,0.9696
94,0.9883,0.9669
95,0.9842,0.9631
96,0.9840,0.9632
97,0.9787,0.9600
98,0.9887,0.9681
99,0.9896,0.9700
100,0.9904,0.9686
101,0.9892,0.9672
102,0.9901,0.9682
103,0.9861,0.9652
104,0.9930,0.9685
105,0.9667,0.9460
106,0.9849,0.9644
107,0.9878,0.9663
108,0.9912,0.9687
109,0.9840,0.9612
110,0.9891,0.9680
111,0.9887,0.9673
112,0.9740,0.9509
113,0.9842,0.9594
114,0.9915,0.9705
115,0.9852,0.9651
116,0.9921,0.9699
117,0.9883,0.9689
118,0.9888,0.9692
119,0.9852,0.9655
120,0.9840,0.9633
121,0.9901,0.9666
122,0.9765,0.9592
123,0.9883,0.9669
124,0.9914,0.9701
125,0.9821,0.9620
126,0.9721,0.9505
127,0.9879,0.9671
128,0.9896,0.9669
129,0.9758,0.9537
130,0.9863,0.9639
131,0.9889,0.9634
132,0.9855,0.9645
133,0.9896,0.9668
134,0.9876,0.9660
135,0.9763,0.9554
136,0.9742,0.9554
137,0.9795,0.9582
138,0.9738,0.9536
139,0.9748,0.9511
140,0.9595,0.9413
141,0.9740,0.9533
142,0.9828,0.9610
143,0.9382,0.9139
144,0.9880,0.9673
145,0.9841,0.9630
146,0.9829,0.9624
147,0.9835,0.9605
148,0.9788,0.9577
149,0.9825,0.9626
150,0.9852,0.9651
151,0.9896,0.9664
152,0.9874,0.9675
153,0.9879,0.9681
154,0.9750,0.9533
155,0.9863,0.9666
156,0.9840,0.9665
157,0.9878,0.9691
158,0.9890,0.9687
159,0.9867,0.9643
160,0.9871,0.9662
161,0.9838,0.9617
162,0.9871,0.9655
163,0.9835,0.9615
164,0.9822,0.9619
165,0.9816,0.9580
166,0.9823,0.9607
167,0.9658,0.9430
168,0.9861,0.9633
169,0.9789,0.9593
170,0.9845,0.9647
171,0.9729,0.9467
172,0.9800,0.9562
173,0.9591,0.9392
174,0.9817,0.9627
175,0.9820,0.9582
176,0.9758,0.9535
177,0.9826,0.9585
178,0.9771,0.9542
179,0.9794,0.9593
180,0.9828,0.9615
181,0.9835,0.9632
182,0.9810,0.9603
183,0.9806,0.9574
184,0.9779,0.9557
185,0.9674,0.9426
186,0.9797,0.9552
187,0.9812,0.9616
188,0.9830,0.9622
189,0.9811,0.9582
190,0.9841,0.9623
191,0.9783,0.9536
192,0.9679,0.9480
193,0.9796,0.9552
194,0.9683,0.9503
195,0.9813,0.9616
196,0.9539,0.9345
197,0.9634,0.9435
198,0.9716,0.9521
199,0.9597,0.9409
200,0.9645,0.9428
