Epoch,Training Accuracy,Test Accuracy
1,0.5797,0.5787
2,0.6543,0.6545
3,0.7270,0.7209
4,0.7371,0.7315
5,0.7506,0.7453
6,0.7568,0.7514
7,0.7498,0.7413
8,0.7591,0.7498
9,0.7618,0.7539
10,0.7611,0.7513
11,0.7621,0.7605
12,0.7608,0.7561
13,0.7638,0.7575
14,0.7585,0.7550
15,0.7471,0.7427
16,0.7671,0.7593
17,0.7692,0.7617
18,0.7642,0.7571
19,0.7684,0.7609
20,0.7684,0.7601
21,0.7762,0.7687
22,0.7692,0.7621
23,0.7678,0.7608
24,0.7759,0.7662
25,0.7641,0.7564
26,0.7724,0.7648
27,0.7724,0.7648
28,0.7752,0.7667
29,0.7712,0.7637
30,0.7716,0.7616
31,0.7748,0.7652
32,0.7612,0.7539
33,0.7763,0.7666
34,0.7741,0.7671
35,0.7713,0.7649
36,0.7696,0.7634
37,0.7745,0.7676
38,0.7719,0.7650
39,0.7714,0.7636
40,0.7781,0.7668
41,0.7673,0.7575
42,0.7680,0.7597
43,0.7633,0.7517
44,0.7693,0.7609
45,0.7682,0.7602
46,0.7690,0.7612
47,0.7706,0.7603
48,0.7740,0.7671
49,0.7726,0.7684
50,0.7709,0.7637
51,0.7705,0.7612
52,0.7715,0.7646
53,0.7725,0.7618
54,0.7746,0.7682
55,0.7725,0.7624
56,0.7775,0.7690
57,0.7755,0.7687
58,0.7682,0.7590
59,0.7754,0.7666
60,0.7741,0.7631
61,0.7715,0.7601
62,0.7678,0.7628
63,0.7731,0.7690
64,0.7767,0.7666
65,0.7650,0.7582
66,0.7762,0.7701
67,0.7769,0.7699
68,0.7742,0.7646
69,0.7761,0.7651
70,0.7715,0.7636
71,0.7711,0.7629
72,0.7772,0.7689
73,0.7620,0.7501
74,0.7677,0.7614
75,0.7784,0.7703
76,0.7747,0.7667
77,0.7661,0.7551
78,0.7702,0.7604
79,0.7757,0.7688
80,0.7742,0.7656
81,0.7757,0.7675
82,0.7770,0.7678
83,0.7722,0.7590
84,0.7758,0.7664
85,0.7785,0.7707
86,0.7693,0.7614
87,0.7722,0.7652
88,0.7730,0.7654
89,0.7751,0.7683
90,0.7701,0.7629
91,0.7755,0.7649
92,0.7777,0.7689
93,0.7707,0.7623
94,0.7749,0.7661
95,0.7714,0.7635
96,0.7753,0.7680
97,0.7740,0.7634
98,0.7708,0.7623
99,0.7687,0.7605
100,0.7720,0.7618
101,0.7801,0.7709
102,0.7782,0.7709
103,0.7726,0.7631
104,0.7749,0.7665
105,0.7718,0.7676
106,0.7768,0.7686
107,0.7703,0.7608
108,0.7785,0.7699
109,0.7749,0.7660
110,0.7664,0.7595
111,0.7746,0.7642
112,0.7767,0.7670
113,0.7728,0.7656
114,0.7738,0.7640
115,0.7653,0.7574
116,0.7753,0.7663
117,0.7778,0.7703
118,0.7777,0.7713
119,0.7728,0.7620
120,0.7762,0.7641
121,0.7598,0.7515
122,0.7779,0.7674
123,0.7773,0.7703
124,0.7778,0.7658
125,0.7735,0.7651
126,0.7800,0.7704
127,0.7798,0.7708
128,0.7762,0.7675
129,0.7789,0.7688
130,0.7595,0.7501
131,0.7724,0.7630
132,0.7762,0.7648
133,0.7786,0.7676
134,0.7735,0.7654
135,0.7754,0.7652
136,0.7767,0.7671
137,0.7748,0.7650
138,0.7722,0.7604
139,0.7719,0.7621
140,0.7749,0.7661
141,0.7684,0.7553
142,0.7737,0.7681
143,0.7780,0.7692
144,0.7779,0.7686
145,0.7748,0.7679
146,0.7776,0.7702
147,0.7785,0.7700
148,0.7752,0.7659
149,0.7770,0.7655
150,0.7772,0.7684
151,0.7754,0.7650
152,0.7775,0.7698
153,0.7737,0.7627
154,0.7748,0.7638
155,0.7713,0.7613
156,0.7698,0.7596
157,0.7748,0.7657
158,0.7751,0.7646
159,0.7815,0.7718
160,0.7785,0.7723
161,0.7769,0.7685
162,0.7738,0.7643
163,0.7647,0.7528
164,0.7726,0.7659
165,0.7672,0.7584
166,0.7759,0.7648
167,0.7805,0.7731
168,0.7754,0.7662
169,0.7727,0.7632
170,0.7776,0.7694
171,0.7812,0.7713
172,0.7769,0.7675
173,0.7755,0.7638
174,0.7806,0.7695
175,0.7804,0.7718
176,0.7635,0.7535
177,0.7793,0.7695
178,0.7784,0.7666
179,0.7735,0.7632
180,0.7758,0.7640
181,0.7727,0.7640
182,0.7758,0.7658
183,0.7808,0.7714
184,0.7781,0.7685
185,0.7671,0.7618
186,0.7821,0.7747
187,0.7782,0.7693
188,0.7716,0.7618
189,0.7767,0.7657
190,0.7818,0.7729
191,0.7762,0.7662
192,0.7755,0.7650
193,0.7779,0.7681
194,0.7833,0.7738
195,0.7685,0.7591
196,0.7747,0.7656
197,0.7653,0.7543
198,0.7705,0.7619
199,0.7796,0.7691
200,0.7713,0.7658
