Epoch,Training Accuracy,Test Accuracy
1,0.9468,0.9446
2,0.9609,0.9583
3,0.9612,0.9532
4,0.9738,0.9649
5,0.9722,0.9646
6,0.9768,0.9671
7,0.9777,0.9673
8,0.9804,0.9687
9,0.9761,0.9649
10,0.9768,0.9658
11,0.9815,0.9697
12,0.9842,0.9719
13,0.9830,0.9683
14,0.9840,0.9727
15,0.9771,0.9644
16,0.9815,0.9687
17,0.9810,0.9678
18,0.9872,0.9747
19,0.9868,0.9724
20,0.9799,0.9663
21,0.9830,0.9708
22,0.9872,0.9718
23,0.9875,0.9719
24,0.9870,0.9708
25,0.9833,0.9681
26,0.9829,0.9670
27,0.9880,0.9727
28,0.9897,0.9741
29,0.9925,0.9733
30,0.9893,0.9717
31,0.9900,0.9750
32,0.9839,0.9675
33,0.9922,0.9770
34,0.9807,0.9655
35,0.9887,0.9740
36,0.9854,0.9710
37,0.9886,0.9743
38,0.9887,0.9727
39,0.9898,0.9730
40,0.9903,0.9728
41,0.9894,0.9725
42,0.9887,0.9713
43,0.9920,0.9746
44,0.9788,0.9649
45,0.9908,0.9737
46,0.9840,0.9666
47,0.9927,0.9738
48,0.9936,0.9747
49,0.9914,0.9730
50,0.9851,0.9674
51,0.9910,0.9714
52,0.9708,0.9542
53,0.9927,0.9739
54,0.9924,0.9750
55,0.9852,0.9671
56,0.9748,0.9603
57,0.9895,0.9723
58,0.9893,0.9712
59,0.9896,0.9724
60,0.9929,0.9749
61,0.9928,0.9728
62,0.9946,0.9762
63,0.9871,0.9663
64,0.9882,0.9698
65,0.9904,0.9686
66,0.9898,0.9713
67,0.9911,0.9741
68,0.9947,0.9744
69,0.9946,0.9760
70,0.9952,0.9755
71,0.9951,0.9761
72,0.9849,0.9655
73,0.9850,0.9662
74,0.9909,0.9724
75,0.9917,0.9717
76,0.9936,0.9746
77,0.9908,0.9711
78,0.9704,0.9545
79,0.9897,0.9718
80,0.9930,0.9724
81,0.9885,0.9691
82,0.9905,0.9722
83,0.9944,0.9752
84,0.9901,0.9672
85,0.9903,0.9698
86,0.9916,0.9701
87,0.9934,0.9755
88,0.9883,0.9707
89,0.9801,0.9605
90,0.9924,0.9742
91,0.9909,0.9705
92,0.9827,0.9664
93,0.9892,0.9719
94,0.9946,0.9737
95,0.9939,0.9738
96,0.9948,0.9735
97,0.9943,0.9729
98,0.9891,0.9704
99,0.9928,0.9725
100,0.9937,0.9735
101,0.9942,0.9744
102,0.9930,0.9712
103,0.9936,0.9718
104,0.9953,0.9723
105,0.9959,0.9747
106,0.9886,0.9669
107,0.9926,0.9712
108,0.9911,0.9718
109,0.9915,0.9710
110,0.9926,0.9717
111,0.9932,0.9720
112,0.9932,0.9718
113,0.9925,0.9703
114,0.9906,0.9720
115,0.9916,0.9705
116,0.9832,0.9667
117,0.9911,0.9684
118,0.9910,0.9713
119,0.9943,0.9747
120,0.9942,0.9728
121,0.9927,0.9727
122,0.9908,0.9714
123,0.9942,0.9734
124,0.9901,0.9712
125,0.9822,0.9646
126,0.8937,0.8753
127,0.9940,0.9727
128,0.9954,0.9755
129,0.9967,0.9757
130,0.9901,0.9714
131,0.9865,0.9665
132,0.9879,0.9681
133,0.9910,0.9682
134,0.9859,0.9639
135,0.9849,0.9655
136,0.9896,0.9708
137,0.9945,0.9738
138,0.9944,0.9736
139,0.9924,0.9710
140,0.9940,0.9732
141,0.9839,0.9657
142,0.9794,0.9569
143,0.9922,0.9701
144,0.9906,0.9692
145,0.9913,0.9713
146,0.9948,0.9756
147,0.9932,0.9733
148,0.9870,0.9651
149,0.9938,0.9749
150,0.9947,0.9725
151,0.9951,0.9731
152,0.9970,0.9772
153,0.9915,0.9704
154,0.9429,0.9275
155,0.9898,0.9692
156,0.9789,0.9604
157,0.9315,0.9125
158,0.9718,0.9552
159,0.9845,0.9669
160,0.9888,0.9704
161,0.9873,0.9702
162,0.9895,0.9719
163,0.9914,0.9715
164,0.9916,0.9734
165,0.9843,0.9635
166,0.9849,0.9677
167,0.9895,0.9693
168,0.9858,0.9661
169,0.9557,0.9388
170,0.9556,0.9394
171,0.9766,0.9572
172,0.9761,0.9586
173,0.9869,0.9650
174,0.9917,0.9723
175,0.9876,0.9662
176,0.9802,0.9608
177,0.9842,0.9656
178,0.9878,0.9670
179,0.9889,0.9700
180,0.9908,0.9728
181,0.9912,0.9718
182,0.9865,0.9660
183,0.9829,0.9641
184,0.9755,0.9574
185,0.9739,0.9560
186,0.9877,0.9689
187,0.9913,0.9720
188,0.9816,0.9633
189,0.9831,0.9647
190,0.9892,0.9698
191,0.9864,0.9677
192,0.9919,0.9711
193,0.9867,0.9692
194,0.9882,0.9699
195,0.9755,0.9583
196,0.9585,0.9437
197,0.9665,0.9512
198,0.9742,0.9595
199,0.9804,0.9634
200,0.9798,0.9619
