Epoch,Training Accuracy,Test Accuracy
1,0.9579,0.9578
2,0.9623,0.9561
3,0.9596,0.9527
4,0.9784,0.9688
5,0.9701,0.9599
6,0.9779,0.9646
7,0.9797,0.9701
8,0.9800,0.9667
9,0.9798,0.9687
10,0.9842,0.9721
11,0.9825,0.9698
12,0.9822,0.9657
13,0.9829,0.9658
14,0.9792,0.9630
15,0.9843,0.9680
16,0.9849,0.9701
17,0.9877,0.9717
18,0.9850,0.9678
19,0.9883,0.9710
20,0.9891,0.9704
21,0.9890,0.9714
22,0.9879,0.9680
23,0.9817,0.9640
24,0.9856,0.9679
25,0.9877,0.9681
26,0.9867,0.9681
27,0.9900,0.9684
28,0.9882,0.9683
29,0.9902,0.9693
30,0.9870,0.9671
31,0.9901,0.9693
32,0.9893,0.9695
33,0.9899,0.9676
34,0.9871,0.9691
35,0.9891,0.9683
36,0.9860,0.9658
37,0.9850,0.9612
38,0.9932,0.9721
39,0.9901,0.9678
40,0.9898,0.9705
41,0.9924,0.9701
42,0.9923,0.9709
43,0.9907,0.9715
44,0.9918,0.9708
45,0.9924,0.9706
46,0.9876,0.9670
47,0.9898,0.9663
48,0.9920,0.9689
49,0.9934,0.9704
50,0.9930,0.9696
51,0.9908,0.9697
52,0.9876,0.9663
53,0.9922,0.9701
54,0.9909,0.9657
55,0.9910,0.9689
56,0.9919,0.9707
57,0.9923,0.9677
58,0.9877,0.9655
59,0.9936,0.9704
60,0.9896,0.9664
61,0.9914,0.9691
62,0.9899,0.9683
63,0.9937,0.9701
64,0.9929,0.9712
65,0.9908,0.9678
66,0.9918,0.9700
67,0.9937,0.9719
68,0.9937,0.9717
69,0.9941,0.9717
70,0.9924,0.9692
71,0.9925,0.9668
72,0.9948,0.9699
73,0.9936,0.9684
74,0.9941,0.9708
75,0.9932,0.9704
76,0.9916,0.9697
77,0.9885,0.9657
78,0.9923,0.9685
79,0.9940,0.9720
80,0.9940,0.9694
81,0.9929,0.9692
82,0.9929,0.9705
83,0.9900,0.9667
84,0.9937,0.9701
85,0.9948,0.9712
86,0.9937,0.9692
87,0.9933,0.9688
88,0.9935,0.9703
89,0.9925,0.9663
90,0.9929,0.9679
91,0.9926,0.9680
92,0.9929,0.9705
93,0.9956,0.9700
94,0.9943,0.9699
95,0.9918,0.9658
96,0.9907,0.9664
97,0.9944,0.9690
98,0.9934,0.9691
99,0.9919,0.9689
100,0.9911,0.9665
101,0.9933,0.9701
102,0.9901,0.9658
103,0.9947,0.9686
104,0.9930,0.9691
105,0.9951,0.9699
106,0.9950,0.9690
107,0.9937,0.9686
108,0.9919,0.9663
109,0.9917,0.9682
110,0.9892,0.9661
111,0.9945,0.9701
112,0.9927,0.9685
113,0.9918,0.9656
114,0.9929,0.9694
115,0.9940,0.9710
116,0.9943,0.9700
117,0.9919,0.9673
118,0.9927,0.9688
119,0.9929,0.9682
120,0.9944,0.9702
121,0.9941,0.9712
122,0.9948,0.9696
123,0.9928,0.9680
124,0.9942,0.9685
125,0.9939,0.9703
126,0.9948,0.9712
127,0.9919,0.9675
128,0.9945,0.9694
129,0.9937,0.9691
130,0.9912,0.9661
131,0.9943,0.9713
132,0.9916,0.9677
133,0.9951,0.9729
134,0.9942,0.9713
135,0.9930,0.9691
136,0.9952,0.9716
137,0.9942,0.9699
138,0.9913,0.9683
139,0.9953,0.9714
140,0.9937,0.9730
141,0.9948,0.9720
142,0.9948,0.9711
143,0.9931,0.9689
144,0.9930,0.9711
145,0.9940,0.9696
146,0.9956,0.9724
147,0.9937,0.9713
148,0.9917,0.9703
149,0.9944,0.9697
150,0.9960,0.9723
151,0.9957,0.9722
152,0.9960,0.9710
153,0.9928,0.9661
154,0.9942,0.9695
155,0.9950,0.9700
156,0.9945,0.9721
157,0.9901,0.9672
158,0.9935,0.9691
159,0.9949,0.9722
160,0.9935,0.9673
161,0.9911,0.9675
162,0.9909,0.9659
163,0.9930,0.9691
164,0.9933,0.9682
165,0.9937,0.9680
166,0.9918,0.9653
167,0.9888,0.9652
168,0.9941,0.9692
169,0.9951,0.9712
170,0.9928,0.9666
171,0.9929,0.9692
172,0.9937,0.9678
173,0.9954,0.9693
174,0.9921,0.9685
175,0.9928,0.9665
176,0.9932,0.9667
177,0.9956,0.9730
178,0.9955,0.9707
179,0.9933,0.9672
180,0.9933,0.9703
181,0.9947,0.9706
182,0.9953,0.9716
183,0.9959,0.9693
184,0.9925,0.9675
185,0.9949,0.9691
186,0.9927,0.9677
187,0.9932,0.9678
188,0.9941,0.9664
189,0.9936,0.9675
190,0.9927,0.9690
191,0.9948,0.9707
192,0.9936,0.9688
193,0.9900,0.9671
194,0.9953,0.9699
195,0.9940,0.9683
196,0.9926,0.9667
197,0.9907,0.9641
198,0.9899,0.9639
199,0.9938,0.9683
200,0.9911,0.9630
