Epoch,Training Accuracy,Test Accuracy
1,0.9636,0.9604
2,0.9715,0.9624
3,0.9786,0.9703
4,0.9817,0.9721
5,0.9862,0.9732
6,0.9822,0.9696
7,0.9859,0.9687
8,0.9883,0.9736
9,0.9857,0.9714
10,0.9890,0.9733
11,0.9902,0.9729
12,0.9876,0.9686
13,0.9901,0.9737
14,0.9900,0.9732
15,0.9903,0.9740
16,0.9928,0.9775
17,0.9928,0.9741
18,0.9917,0.9742
19,0.9942,0.9760
20,0.9920,0.9739
21,0.9929,0.9733
22,0.9926,0.9721
23,0.9942,0.9780
24,0.9928,0.9743
25,0.9934,0.9750
26,0.9946,0.9746
27,0.9942,0.9772
28,0.9953,0.9765
29,0.9916,0.9735
30,0.9956,0.9759
31,0.9947,0.9763
32,0.9929,0.9731
33,0.9952,0.9751
34,0.9951,0.9770
35,0.9951,0.9775
36,0.9960,0.9778
37,0.9950,0.9752
38,0.9964,0.9787
39,0.9970,0.9777
40,0.9967,0.9757
41,0.9968,0.9797
42,0.9961,0.9760
43,0.9962,0.9767
44,0.9956,0.9750
45,0.9955,0.9740
46,0.9966,0.9749
47,0.9980,0.9783
48,0.9980,0.9770
49,0.9966,0.9756
50,0.9966,0.9759
51,0.9975,0.9754
52,0.9974,0.9787
53,0.9960,0.9748
54,0.9981,0.9777
55,0.9979,0.9782
56,0.9971,0.9776
57,0.9979,0.9787
58,0.9971,0.9784
59,0.9984,0.9794
60,0.9980,0.9798
61,0.9978,0.9783
62,0.9970,0.9763
63,0.9971,0.9762
64,0.9975,0.9768
65,0.9982,0.9779
66,0.9973,0.9771
67,0.9964,0.9766
68,0.9984,0.9788
69,0.9974,0.9792
70,0.9979,0.9785
71,0.9980,0.9781
72,0.9990,0.9796
73,0.9970,0.9777
74,0.9985,0.9780
75,0.9966,0.9752
76,0.9989,0.9803
77,0.9987,0.9774
78,0.9981,0.9790
79,0.9970,0.9782
80,0.9971,0.9767
81,0.9979,0.9773
82,0.9970,0.9746
83,0.9981,0.9792
84,0.9984,0.9772
85,0.9971,0.9771
86,0.9980,0.9779
87,0.9966,0.9766
88,0.9972,0.9757
89,0.9986,0.9774
90,0.9972,0.9776
91,0.9990,0.9791
92,0.9980,0.9790
93,0.9981,0.9776
94,0.9957,0.9746
95,0.9987,0.9798
96,0.9983,0.9790
97,0.9984,0.9784
98,0.9985,0.9789
99,0.9983,0.9776
100,0.9988,0.9764
101,0.9976,0.9773
102,0.9987,0.9783
103,0.9987,0.9779
104,0.9971,0.9777
105,0.9992,0.9813
106,0.9981,0.9781
107,0.9984,0.9775
108,0.9980,0.9792
109,0.9983,0.9785
110,0.9973,0.9779
111,0.9987,0.9801
112,0.9990,0.9785
113,0.9989,0.9779
114,0.9992,0.9805
115,0.9987,0.9792
116,0.9989,0.9776
117,0.9984,0.9794
118,0.9981,0.9786
119,0.9988,0.9787
120,0.9977,0.9774
121,0.9982,0.9812
122,0.9984,0.9801
123,0.9987,0.9796
124,0.9991,0.9806
125,0.9993,0.9817
126,0.9992,0.9806
127,0.9991,0.9807
128,0.9986,0.9793
129,0.9992,0.9800
130,0.9986,0.9782
131,0.9982,0.9793
132,0.9989,0.9789
133,0.9989,0.9802
134,0.9992,0.9784
135,0.9988,0.9785
136,0.9986,0.9771
137,0.9991,0.9784
138,0.9993,0.9793
139,0.9974,0.9785
140,0.9980,0.9794
141,0.9987,0.9782
142,0.9991,0.9792
143,0.9992,0.9798
144,0.9994,0.9796
145,0.9992,0.9787
146,0.9988,0.9774
147,0.9990,0.9783
148,0.9987,0.9800
149,0.9992,0.9793
150,0.9991,0.9800
151,0.9984,0.9786
152,0.9993,0.9807
153,0.9992,0.9807
154,0.9994,0.9813
155,0.9994,0.9785
156,0.9980,0.9793
157,0.9990,0.9797
158,0.9992,0.9807
159,0.9994,0.9803
160,0.9989,0.9810
161,0.9987,0.9779
162,0.9993,0.9791
163,0.9987,0.9776
164,0.9993,0.9787
165,0.9987,0.9788
166,0.9994,0.9805
167,0.9991,0.9796
168,0.9992,0.9785
169,0.9994,0.9789
170,0.9983,0.9776
171,0.9985,0.9773
172,0.9977,0.9791
173,0.9994,0.9807
174,0.9996,0.9807
175,0.9993,0.9801
176,0.9996,0.9801
177,0.9996,0.9807
178,0.9991,0.9808
179,0.9980,0.9775
180,0.9990,0.9795
181,0.9993,0.9793
182,0.9991,0.9798
183,0.9994,0.9789
184,0.9992,0.9767
185,0.9996,0.9795
186,0.9993,0.9813
187,0.9992,0.9814
188,0.9993,0.9801
189,0.9991,0.9791
190,0.9996,0.9814
191,0.9996,0.9804
192,0.9993,0.9786
193,0.9990,0.9808
194,0.9994,0.9784
195,0.9994,0.9804
196,0.9995,0.9802
197,0.9989,0.9804
198,0.9995,0.9799
199,0.9987,0.9799
200,0.9995,0.9805
