Epoch,Training Accuracy,Test Accuracy
1,0.9080,0.9066
2,0.9415,0.9383
3,0.9531,0.9462
4,0.9611,0.9512
5,0.9663,0.9551
6,0.9668,0.9571
7,0.9694,0.9570
8,0.9738,0.9612
9,0.9699,0.9591
10,0.9760,0.9623
11,0.9738,0.9628
12,0.9781,0.9643
13,0.9770,0.9643
14,0.9754,0.9626
15,0.9795,0.9656
16,0.9776,0.9609
17,0.9811,0.9673
18,0.9778,0.9649
19,0.9750,0.9620
20,0.9798,0.9659
21,0.9829,0.9692
22,0.9797,0.9665
23,0.9814,0.9662
24,0.9837,0.9673
25,0.9808,0.9659
26,0.9837,0.9657
27,0.9801,0.9649
28,0.9854,0.9682
29,0.9829,0.9662
30,0.9835,0.9665
31,0.9837,0.9649
32,0.9861,0.9672
33,0.9832,0.9679
34,0.9814,0.9654
35,0.9846,0.9670
36,0.9823,0.9646
37,0.9855,0.9674
38,0.9817,0.9645
39,0.9851,0.9664
40,0.9871,0.9688
41,0.9860,0.9679
42,0.9856,0.9666
43,0.9822,0.9635
44,0.9858,0.9677
45,0.9862,0.9653
46,0.9878,0.9674
47,0.9824,0.9653
48,0.9814,0.9625
49,0.9854,0.9662
50,0.9855,0.9656
51,0.9902,0.9672
52,0.9895,0.9687
53,0.9864,0.9666
54,0.9820,0.9611
55,0.9864,0.9660
56,0.9904,0.9689
57,0.9877,0.9657
58,0.9866,0.9649
59,0.9895,0.9687
60,0.9894,0.9662
61,0.9867,0.9653
62,0.9871,0.9663
63,0.9825,0.9619
64,0.9884,0.9674
65,0.9899,0.9687
66,0.9884,0.9669
67,0.9899,0.9681
68,0.9878,0.9650
69,0.9870,0.9663
70,0.9879,0.9644
71,0.9874,0.9646
72,0.9892,0.9680
73,0.9901,0.9682
74,0.9887,0.9643
75,0.9920,0.9666
76,0.9892,0.9667
77,0.9893,0.9663
78,0.9903,0.9673
79,0.9905,0.9676
80,0.9866,0.9661
81,0.9900,0.9663
82,0.9864,0.9658
83,0.9912,0.9662
84,0.9880,0.9616
85,0.9903,0.9671
86,0.9889,0.9666
87,0.9883,0.9655
88,0.9903,0.9662
89,0.9906,0.9667
90,0.9898,0.9652
91,0.9887,0.9658
92,0.9922,0.9670
93,0.9904,0.9661
94,0.9915,0.9672
95,0.9882,0.9668
96,0.9916,0.9669
97,0.9907,0.9676
98,0.9905,0.9675
99,0.9909,0.9671
100,0.9904,0.9678
101,0.9922,0.9689
102,0.9913,0.9667
103,0.9911,0.9663
104,0.9912,0.9665
105,0.9891,0.9641
106,0.9898,0.9634
107,0.9907,0.9657
108,0.9917,0.9673
109,0.9924,0.9672
110,0.9853,0.9638
111,0.9905,0.9672
112,0.9913,0.9666
113,0.9899,0.9658
114,0.9939,0.9681
115,0.9912,0.9640
116,0.9874,0.9624
117,0.9915,0.9645
118,0.9931,0.9681
119,0.9932,0.9658
120,0.9909,0.9647
121,0.9921,0.9663
122,0.9908,0.9657
123,0.9901,0.9639
124,0.9931,0.9682
125,0.9923,0.9682
126,0.9941,0.9674
127,0.9940,0.9690
128,0.9927,0.9690
129,0.9928,0.9660
130,0.9906,0.9652
131,0.9924,0.9662
132,0.9934,0.9663
133,0.9922,0.9651
134,0.9906,0.9662
135,0.9922,0.9661
136,0.9933,0.9667
137,0.9888,0.9617
138,0.9929,0.9683
139,0.9927,0.9641
140,0.9903,0.9657
141,0.9908,0.9646
142,0.9942,0.9671
143,0.9892,0.9620
144,0.9921,0.9661
145,0.9912,0.9653
146,0.9893,0.9673
147,0.9923,0.9654
148,0.9900,0.9650
149,0.9913,0.9644
150,0.9919,0.9679
151,0.9938,0.9663
152,0.9921,0.9661
153,0.9914,0.9646
154,0.9940,0.9675
155,0.9937,0.9673
156,0.9933,0.9675
157,0.9920,0.9650
158,0.9925,0.9670
159,0.9938,0.9660
160,0.9929,0.9672
161,0.9933,0.9660
162,0.9928,0.9668
163,0.9924,0.9664
164,0.9884,0.9630
165,0.9903,0.9642
166,0.9925,0.9651
167,0.9905,0.9652
168,0.9905,0.9663
169,0.9920,0.9662
170,0.9927,0.9676
171,0.9936,0.9671
172,0.9898,0.9652
173,0.9932,0.9662
174,0.9924,0.9655
175,0.9930,0.9643
176,0.9841,0.9616
177,0.9933,0.9664
178,0.9907,0.9643
179,0.9921,0.9646
180,0.9928,0.9649
181,0.9920,0.9661
182,0.9943,0.9654
183,0.9925,0.9658
184,0.9924,0.9653
185,0.9929,0.9628
186,0.9931,0.9646
187,0.9895,0.9622
188,0.9929,0.9654
189,0.9924,0.9651
190,0.9931,0.9654
191,0.9951,0.9656
192,0.9930,0.9654
193,0.9939,0.9664
194,0.9929,0.9666
195,0.9929,0.9644
196,0.9943,0.9681
197,0.9954,0.9683
198,0.9940,0.9677
199,0.9939,0.9665
200,0.9936,0.9661
