Epoch,Training Accuracy,Test Accuracy
1,0.9610,0.9558
2,0.9744,0.9659
3,0.9748,0.9639
4,0.9866,0.9761
5,0.9801,0.9648
6,0.9863,0.9732
7,0.9869,0.9726
8,0.9887,0.9742
9,0.9895,0.9736
10,0.9809,0.9675
11,0.9876,0.9708
12,0.9854,0.9695
13,0.9854,0.9689
14,0.9899,0.9715
15,0.9908,0.9739
16,0.9926,0.9751
17,0.9887,0.9708
18,0.9909,0.9722
19,0.9922,0.9714
20,0.9925,0.9748
21,0.9918,0.9722
22,0.9943,0.9754
23,0.9942,0.9756
24,0.9936,0.9756
25,0.9939,0.9723
26,0.9928,0.9717
27,0.9931,0.9738
28,0.9950,0.9738
29,0.9921,0.9702
30,0.9939,0.9704
31,0.9957,0.9754
32,0.9944,0.9741
33,0.9936,0.9752
34,0.9935,0.9731
35,0.9953,0.9738
36,0.9949,0.9754
37,0.9947,0.9725
38,0.9958,0.9755
39,0.9940,0.9726
40,0.9976,0.9756
41,0.9951,0.9750
42,0.9955,0.9735
43,0.9938,0.9737
44,0.9967,0.9766
45,0.9961,0.9772
46,0.9932,0.9727
47,0.9961,0.9763
48,0.9962,0.9787
49,0.9968,0.9728
50,0.9944,0.9735
51,0.9964,0.9764
52,0.9948,0.9726
53,0.9966,0.9758
54,0.9959,0.9745
55,0.9970,0.9780
56,0.9970,0.9752
57,0.9960,0.9749
58,0.9959,0.9752
59,0.9967,0.9753
60,0.9970,0.9755
61,0.9961,0.9745
62,0.9954,0.9728
63,0.9962,0.9744
64,0.9970,0.9771
65,0.9970,0.9762
66,0.9978,0.9764
67,0.9969,0.9747
68,0.9977,0.9745
69,0.9967,0.9755
70,0.9981,0.9785
71,0.9976,0.9766
72,0.9983,0.9771
73,0.9977,0.9753
74,0.9971,0.9733
75,0.9984,0.9786
76,0.9980,0.9755
77,0.9984,0.9746
78,0.9975,0.9752
79,0.9970,0.9735
80,0.9975,0.9769
81,0.9968,0.9760
82,0.9966,0.9741
83,0.9985,0.9769
84,0.9986,0.9779
85,0.9972,0.9755
86,0.9975,0.9761
87,0.9981,0.9765
88,0.9985,0.9774
89,0.9965,0.9731
90,0.9976,0.9761
91,0.9981,0.9773
92,0.9982,0.9758
93,0.9983,0.9747
94,0.9982,0.9761
95,0.9986,0.9771
96,0.9987,0.9774
97,0.9981,0.9766
98,0.9974,0.9740
99,0.9960,0.9758
100,0.9980,0.9766
101,0.9971,0.9747
102,0.9988,0.9776
103,0.9984,0.9766
104,0.9986,0.9788
105,0.9989,0.9774
106,0.9983,0.9770
107,0.9975,0.9777
108,0.9987,0.9766
109,0.9978,0.9770
110,0.9986,0.9795
111,0.9989,0.9782
112,0.9979,0.9773
113,0.9984,0.9768
114,0.9985,0.9782
115,0.9990,0.9770
116,0.9983,0.9782
117,0.9980,0.9759
118,0.9972,0.9750
119,0.9974,0.9761
120,0.9985,0.9761
121,0.9990,0.9790
122,0.9984,0.9783
123,0.9984,0.9761
124,0.9986,0.9755
125,0.9984,0.9746
126,0.9989,0.9776
127,0.9986,0.9764
128,0.9987,0.9767
129,0.9982,0.9760
130,0.9981,0.9780
131,0.9987,0.9771
132,0.9988,0.9760
133,0.9980,0.9746
134,0.9989,0.9775
135,0.9991,0.9778
136,0.9991,0.9779
137,0.9981,0.9761
138,0.9984,0.9767
139,0.9989,0.9782
140,0.9990,0.9814
141,0.9978,0.9767
142,0.9985,0.9770
143,0.9991,0.9786
144,0.9989,0.9783
145,0.9981,0.9770
146,0.9984,0.9775
147,0.9992,0.9782
148,0.9979,0.9759
149,0.9989,0.9769
150,0.9989,0.9764
151,0.9988,0.9775
152,0.9983,0.9754
153,0.9992,0.9779
154,0.9985,0.9772
155,0.9986,0.9779
156,0.9988,0.9748
157,0.9991,0.9789
158,0.9990,0.9779
159,0.9992,0.9789
160,0.9976,0.9741
161,0.9990,0.9780
162,0.9991,0.9792
163,0.9988,0.9772
164,0.9991,0.9776
165,0.9993,0.9790
166,0.9990,0.9805
167,0.9990,0.9779
168,0.9983,0.9780
169,0.9987,0.9784
170,0.9993,0.9791
171,0.9982,0.9795
172,0.9987,0.9781
173,0.9991,0.9784
174,0.9993,0.9797
175,0.9993,0.9801
176,0.9990,0.9789
177,0.9986,0.9805
178,0.9982,0.9777
179,0.9990,0.9789
180,0.9982,0.9776
181,0.9990,0.9779
182,0.9989,0.9775
183,0.9993,0.9787
184,0.9992,0.9803
185,0.9988,0.9772
186,0.9991,0.9801
187,0.9989,0.9783
188,0.9991,0.9785
189,0.9992,0.9797
190,0.9990,0.9782
191,0.9994,0.9812
192,0.9991,0.9780
193,0.9993,0.9784
194,0.9994,0.9796
195,0.9992,0.9789
196,0.9984,0.9783
197,0.9989,0.9777
198,0.9992,0.9771
199,0.9987,0.9787
200,0.9994,0.9788
