Epoch,Training Accuracy,Test Accuracy
1,0.9354,0.9352
2,0.9476,0.9442
3,0.9665,0.9565
4,0.9701,0.9618
5,0.9698,0.9568
6,0.9754,0.9649
7,0.9738,0.9643
8,0.9747,0.9670
9,0.9728,0.9603
10,0.9707,0.9589
11,0.9738,0.9589
12,0.9818,0.9701
13,0.9799,0.9646
14,0.9821,0.9718
15,0.9839,0.9692
16,0.9820,0.9696
17,0.9843,0.9691
18,0.9849,0.9709
19,0.9838,0.9670
20,0.9862,0.9722
21,0.9821,0.9656
22,0.9797,0.9643
23,0.9835,0.9696
24,0.9861,0.9713
25,0.9895,0.9727
26,0.9853,0.9692
27,0.9897,0.9723
28,0.9819,0.9673
29,0.9866,0.9694
30,0.9860,0.9695
31,0.9863,0.9713
32,0.9890,0.9713
33,0.9876,0.9694
34,0.9874,0.9714
35,0.9856,0.9688
36,0.9841,0.9666
37,0.9889,0.9725
38,0.9899,0.9725
39,0.9861,0.9671
40,0.9819,0.9646
41,0.9887,0.9710
42,0.9893,0.9719
43,0.9836,0.9647
44,0.9895,0.9707
45,0.9840,0.9671
46,0.9900,0.9699
47,0.9825,0.9652
48,0.9902,0.9724
49,0.9843,0.9670
50,0.9815,0.9653
51,0.9898,0.9714
52,0.9892,0.9702
53,0.9906,0.9707
54,0.9914,0.9710
55,0.9925,0.9736
56,0.9812,0.9648
57,0.9859,0.9686
58,0.9805,0.9608
59,0.9879,0.9711
60,0.9882,0.9710
61,0.9878,0.9682
62,0.9918,0.9727
63,0.9925,0.9732
64,0.9872,0.9690
65,0.9842,0.9652
66,0.9869,0.9700
67,0.9823,0.9644
68,0.9886,0.9710
69,0.9905,0.9708
70,0.9883,0.9697
71,0.9886,0.9696
72,0.9897,0.9707
73,0.9849,0.9680
74,0.9884,0.9694
75,0.9900,0.9696
76,0.9913,0.9730
77,0.9871,0.9678
78,0.9864,0.9666
79,0.9859,0.9653
80,0.9902,0.9693
81,0.9859,0.9654
82,0.9864,0.9664
83,0.9836,0.9651
84,0.9891,0.9707
85,0.9850,0.9684
86,0.9922,0.9722
87,0.9832,0.9646
88,0.9854,0.9655
89,0.9785,0.9566
90,0.9873,0.9647
91,0.9911,0.9715
92,0.9892,0.9678
93,0.9859,0.9671
94,0.9755,0.9611
95,0.9891,0.9713
96,0.9880,0.9703
97,0.9883,0.9686
98,0.9849,0.9664
99,0.9865,0.9662
100,0.9884,0.9678
101,0.9809,0.9632
102,0.9889,0.9703
103,0.9878,0.9683
104,0.9914,0.9713
105,0.9875,0.9677
106,0.9887,0.9694
107,0.9875,0.9671
108,0.9864,0.9664
109,0.9900,0.9715
110,0.9834,0.9613
111,0.9875,0.9664
112,0.9818,0.9625
113,0.9892,0.9699
114,0.9826,0.9633
115,0.9904,0.9705
116,0.9822,0.9628
117,0.9758,0.9581
118,0.9760,0.9569
119,0.9841,0.9656
120,0.9605,0.9395
121,0.9873,0.9663
122,0.9839,0.9661
123,0.9868,0.9645
124,0.9758,0.9554
125,0.9799,0.9631
126,0.9870,0.9642
127,0.9861,0.9671
128,0.9857,0.9653
129,0.9824,0.9645
130,0.9870,0.9675
131,0.9799,0.9604
132,0.9658,0.9510
133,0.9842,0.9650
134,0.9891,0.9696
135,0.9832,0.9651
136,0.9779,0.9616
137,0.9833,0.9658
138,0.9848,0.9670
139,0.9818,0.9633
140,0.9792,0.9615
141,0.9822,0.9670
142,0.9838,0.9675
143,0.9899,0.9725
144,0.9891,0.9705
145,0.9838,0.9658
146,0.9869,0.9655
147,0.9873,0.9680
148,0.9702,0.9537
149,0.9859,0.9669
150,0.9816,0.9635
151,0.9777,0.9594
152,0.9847,0.9661
153,0.9822,0.9650
154,0.9821,0.9657
155,0.9866,0.9675
156,0.9808,0.9628
157,0.9774,0.9568
158,0.9697,0.9504
159,0.9839,0.9643
160,0.9831,0.9624
161,0.9825,0.9647
162,0.9699,0.9492
163,0.9893,0.9693
164,0.9872,0.9673
165,0.9898,0.9707
166,0.9892,0.9684
167,0.9880,0.9693
168,0.9855,0.9670
169,0.9869,0.9671
170,0.9647,0.9464
171,0.9742,0.9557
172,0.9888,0.9697
173,0.9677,0.9509
174,0.9826,0.9605
175,0.9827,0.9626
176,0.9714,0.9506
177,0.9859,0.9655
178,0.9791,0.9604
179,0.9150,0.8988
180,0.9788,0.9597
181,0.9788,0.9591
182,0.9869,0.9658
183,0.9729,0.9523
184,0.9862,0.9652
185,0.9851,0.9636
186,0.9883,0.9681
187,0.9823,0.9620
188,0.9785,0.9580
189,0.9810,0.9630
190,0.8876,0.8734
191,0.8770,0.8595
192,0.8870,0.8705
193,0.8915,0.8756
194,0.8932,0.8769
195,0.8882,0.8707
196,0.8965,0.8811
197,0.8567,0.8428
198,0.8893,0.8746
199,0.7932,0.7799
200,0.7864,0.7741
