Epoch,Training Accuracy,Test Accuracy
1,0.9387,0.9369
2,0.9512,0.9453
3,0.9608,0.9539
4,0.9632,0.9563
5,0.9682,0.9611
6,0.9709,0.9591
7,0.9683,0.9563
8,0.9724,0.9594
9,0.9762,0.9637
10,0.9732,0.9623
11,0.9738,0.9616
12,0.9783,0.9638
13,0.9797,0.9655
14,0.9782,0.9620
15,0.9797,0.9636
16,0.9774,0.9611
17,0.9805,0.9635
18,0.9809,0.9638
19,0.9811,0.9639
20,0.9816,0.9629
21,0.9818,0.9659
22,0.9820,0.9626
23,0.9817,0.9632
24,0.9830,0.9637
25,0.9823,0.9658
26,0.9858,0.9668
27,0.9855,0.9664
28,0.9851,0.9648
29,0.9839,0.9660
30,0.9830,0.9627
31,0.9826,0.9625
32,0.9830,0.9638
33,0.9839,0.9655
34,0.9858,0.9662
35,0.9828,0.9615
36,0.9871,0.9642
37,0.9851,0.9640
38,0.9822,0.9618
39,0.9876,0.9666
40,0.9850,0.9625
41,0.9870,0.9640
42,0.9837,0.9608
43,0.9885,0.9666
44,0.9888,0.9660
45,0.9893,0.9666
46,0.9857,0.9634
47,0.9880,0.9652
48,0.9882,0.9663
49,0.9897,0.9661
50,0.9850,0.9636
51,0.9891,0.9637
52,0.9858,0.9658
53,0.9858,0.9632
54,0.9905,0.9648
55,0.9877,0.9640
56,0.9875,0.9648
57,0.9870,0.9644
58,0.9887,0.9646
59,0.9905,0.9658
60,0.9829,0.9596
61,0.9866,0.9629
62,0.9887,0.9630
63,0.9894,0.9652
64,0.9895,0.9648
65,0.9890,0.9638
66,0.9880,0.9651
67,0.9896,0.9660
68,0.9894,0.9644
69,0.9877,0.9626
70,0.9897,0.9623
71,0.9906,0.9626
72,0.9888,0.9650
73,0.9901,0.9644
74,0.9924,0.9654
75,0.9875,0.9601
76,0.9908,0.9667
77,0.9868,0.9611
78,0.9909,0.9655
79,0.9862,0.9627
80,0.9854,0.9628
81,0.9908,0.9652
82,0.9909,0.9670
83,0.9923,0.9674
84,0.9901,0.9643
85,0.9907,0.9641
86,0.9846,0.9645
87,0.9868,0.9625
88,0.9913,0.9651
89,0.9886,0.9620
90,0.9901,0.9651
91,0.9880,0.9629
92,0.9927,0.9642
93,0.9890,0.9655
94,0.9927,0.9667
95,0.9923,0.9641
96,0.9924,0.9648
97,0.9879,0.9623
98,0.9911,0.9664
99,0.9932,0.9674
100,0.9905,0.9648
101,0.9879,0.9609
102,0.9887,0.9611
103,0.9916,0.9638
104,0.9921,0.9655
105,0.9924,0.9642
106,0.9918,0.9654
107,0.9923,0.9645
108,0.9901,0.9639
109,0.9904,0.9634
110,0.9897,0.9621
111,0.9916,0.9654
112,0.9924,0.9630
113,0.9931,0.9660
114,0.9912,0.9634
115,0.9932,0.9678
116,0.9913,0.9652
117,0.9921,0.9663
118,0.9883,0.9660
119,0.9928,0.9662
120,0.9922,0.9644
121,0.9899,0.9618
122,0.9933,0.9645
123,0.9939,0.9649
124,0.9915,0.9626
125,0.9910,0.9632
126,0.9912,0.9634
127,0.9928,0.9632
128,0.9920,0.9635
129,0.9919,0.9664
130,0.9903,0.9653
131,0.9924,0.9656
132,0.9927,0.9631
133,0.9920,0.9652
134,0.9879,0.9593
135,0.9938,0.9654
136,0.9934,0.9631
137,0.9914,0.9631
138,0.9880,0.9601
139,0.9939,0.9653
140,0.9911,0.9631
141,0.9908,0.9622
142,0.9937,0.9645
143,0.9899,0.9618
144,0.9931,0.9638
145,0.9938,0.9649
146,0.9920,0.9615
147,0.9919,0.9634
148,0.9880,0.9593
149,0.9941,0.9644
150,0.9892,0.9607
151,0.9940,0.9643
152,0.9924,0.9628
153,0.9918,0.9650
154,0.9904,0.9616
155,0.9905,0.9644
156,0.9925,0.9641
157,0.9894,0.9625
158,0.9939,0.9655
159,0.9934,0.9638
160,0.9915,0.9628
161,0.9945,0.9638
162,0.9901,0.9641
163,0.9933,0.9656
164,0.9907,0.9633
165,0.9925,0.9635
166,0.9915,0.9627
167,0.9946,0.9666
168,0.9937,0.9667
169,0.9945,0.9658
170,0.9921,0.9653
171,0.9935,0.9650
172,0.9942,0.9670
173,0.9899,0.9620
174,0.9913,0.9598
175,0.9930,0.9621
176,0.9911,0.9616
177,0.9942,0.9646
178,0.9927,0.9643
179,0.9932,0.9628
180,0.9925,0.9600
181,0.9937,0.9644
182,0.9948,0.9654
183,0.9939,0.9640
184,0.9925,0.9632
185,0.9923,0.9615
186,0.9951,0.9638
187,0.9924,0.9645
188,0.9897,0.9614
189,0.9944,0.9645
190,0.9909,0.9630
191,0.9947,0.9633
192,0.9944,0.9651
193,0.9928,0.9647
194,0.9927,0.9637
195,0.9944,0.9643
196,0.9929,0.9636
197,0.9943,0.9641
198,0.9941,0.9633
199,0.9883,0.9619
200,0.9902,0.9634
