Epoch,Training Accuracy,Test Accuracy
1,0.7775,0.7771
2,0.8166,0.8149
3,0.8304,0.8272
4,0.8501,0.8426
5,0.8600,0.8553
6,0.8619,0.8560
7,0.8599,0.8588
8,0.8772,0.8761
9,0.8626,0.8625
10,0.8811,0.8768
11,0.8669,0.8610
12,0.8768,0.8685
13,0.8791,0.8722
14,0.8852,0.8772
15,0.8871,0.8791
16,0.8848,0.8775
17,0.8829,0.8793
18,0.8807,0.8766
19,0.8791,0.8738
20,0.8867,0.8791
21,0.8818,0.8745
22,0.8762,0.8682
23,0.8866,0.8797
24,0.8900,0.8799
25,0.8799,0.8668
26,0.8862,0.8774
27,0.8871,0.8772
28,0.8784,0.8660
29,0.8840,0.8760
30,0.8902,0.8818
31,0.8925,0.8840
32,0.8901,0.8831
33,0.8878,0.8790
34,0.8782,0.8707
35,0.8912,0.8800
36,0.8886,0.8789
37,0.8905,0.8844
38,0.8848,0.8781
39,0.8882,0.8784
40,0.8885,0.8797
41,0.8894,0.8782
42,0.8913,0.8814
43,0.8882,0.8788
44,0.8920,0.8843
45,0.8817,0.8731
46,0.8871,0.8802
47,0.8864,0.8774
48,0.8869,0.8783
49,0.8850,0.8745
50,0.8919,0.8807
51,0.8941,0.8853
52,0.8866,0.8789
53,0.8870,0.8801
54,0.8827,0.8699
55,0.8950,0.8880
56,0.8845,0.8765
57,0.8821,0.8732
58,0.8855,0.8785
59,0.8912,0.8811
60,0.8896,0.8815
61,0.8783,0.8663
62,0.8873,0.8773
63,0.8821,0.8738
64,0.8907,0.8780
65,0.8939,0.8816
66,0.8884,0.8748
67,0.8922,0.8813
68,0.8747,0.8634
69,0.8831,0.8727
70,0.8916,0.8790
71,0.8828,0.8707
72,0.8936,0.8833
73,0.8909,0.8767
74,0.8839,0.8755
75,0.8888,0.8762
76,0.8937,0.8832
77,0.8809,0.8710
78,0.8869,0.8784
79,0.8907,0.8785
80,0.8916,0.8810
81,0.8872,0.8755
82,0.8802,0.8680
83,0.8871,0.8737
84,0.8904,0.8797
85,0.8837,0.8717
86,0.8882,0.8763
87,0.8936,0.8812
88,0.8926,0.8782
89,0.8906,0.8821
90,0.8937,0.8818
91,0.8838,0.8754
92,0.8930,0.8823
93,0.8959,0.8823
94,0.8923,0.8796
95,0.8826,0.8694
96,0.8874,0.8741
97,0.8951,0.8788
98,0.8912,0.8787
99,0.8838,0.8731
100,0.8881,0.8788
101,0.8893,0.8762
102,0.8930,0.8806
103,0.8785,0.8681
104,0.8860,0.8746
105,0.8917,0.8788
106,0.8907,0.8779
107,0.8924,0.8800
108,0.8945,0.8817
109,0.8893,0.8795
110,0.8965,0.8839
111,0.8938,0.8823
112,0.8929,0.8813
113,0.8841,0.8755
114,0.8918,0.8778
115,0.8874,0.8769
116,0.8807,0.8657
117,0.8964,0.8839
118,0.8889,0.8788
119,0.8886,0.8770
120,0.8863,0.8758
121,0.8867,0.8766
122,0.8923,0.8790
123,0.8744,0.8656
124,0.8931,0.8779
125,0.8870,0.8711
126,0.8814,0.8708
127,0.8937,0.8818
128,0.8917,0.8771
129,0.8945,0.8801
130,0.8908,0.8770
131,0.8868,0.8774
132,0.8945,0.8829
133,0.8920,0.8763
134,0.8898,0.8780
135,0.8906,0.8754
136,0.8931,0.8774
137,0.8914,0.8796
138,0.8949,0.8834
139,0.8900,0.8777
140,0.8896,0.8756
141,0.8922,0.8779
142,0.8862,0.8736
143,0.8923,0.8801
144,0.8944,0.8772
145,0.8881,0.8766
146,0.8948,0.8827
147,0.8931,0.8796
148,0.8849,0.8682
149,0.8911,0.8774
150,0.8898,0.8760
151,0.8879,0.8753
152,0.8922,0.8804
153,0.8874,0.8764
154,0.8886,0.8785
155,0.8955,0.8791
156,0.8891,0.8734
157,0.8911,0.8772
158,0.8881,0.8735
159,0.8970,0.8819
160,0.8941,0.8800
161,0.8737,0.8581
162,0.8925,0.8767
163,0.8972,0.8840
164,0.8990,0.8821
165,0.8896,0.8768
166,0.8915,0.8793
167,0.8899,0.8769
168,0.8912,0.8794
169,0.8952,0.8841
170,0.8902,0.8753
171,0.8955,0.8817
172,0.8951,0.8786
173,0.8894,0.8779
174,0.8931,0.8771
175,0.8946,0.8827
176,0.8924,0.8759
177,0.8980,0.8867
178,0.8757,0.8629
179,0.8885,0.8743
180,0.8856,0.8710
181,0.8942,0.8810
182,0.8934,0.8773
183,0.8966,0.8831
184,0.8939,0.8774
185,0.8874,0.8713
186,0.8964,0.8800
187,0.8964,0.8818
188,0.8946,0.8807
189,0.8943,0.8762
190,0.8910,0.8750
191,0.8823,0.8701
192,0.8942,0.8788
193,0.8978,0.8841
194,0.8940,0.8798
195,0.8940,0.8781
196,0.8932,0.8776
197,0.8959,0.8811
198,0.8899,0.8744
199,0.8975,0.8846
200,0.8961,0.8812
