Epoch,Training Accuracy,Test Accuracy
1,0.9558,0.9471
2,0.9703,0.9650
3,0.9734,0.9671
4,0.9591,0.9485
5,0.9717,0.9609
6,0.9787,0.9650
7,0.9786,0.9674
8,0.9785,0.9652
9,0.9806,0.9677
10,0.9787,0.9684
11,0.9803,0.9703
12,0.9844,0.9710
13,0.9859,0.9724
14,0.9849,0.9688
15,0.9895,0.9698
16,0.9880,0.9722
17,0.9888,0.9745
18,0.9876,0.9732
19,0.9838,0.9691
20,0.9875,0.9683
21,0.9900,0.9737
22,0.9886,0.9702
23,0.9867,0.9707
24,0.9889,0.9715
25,0.9889,0.9733
26,0.9907,0.9737
27,0.9919,0.9732
28,0.9898,0.9724
29,0.9883,0.9695
30,0.9925,0.9733
31,0.9916,0.9722
32,0.9902,0.9706
33,0.9887,0.9722
34,0.9916,0.9729
35,0.9904,0.9728
36,0.9936,0.9754
37,0.9890,0.9722
38,0.9899,0.9722
39,0.9914,0.9755
40,0.9917,0.9716
41,0.9944,0.9758
42,0.9955,0.9768
43,0.9941,0.9757
44,0.9926,0.9720
45,0.9931,0.9745
46,0.9864,0.9687
47,0.9917,0.9727
48,0.9918,0.9720
49,0.9931,0.9727
50,0.9954,0.9755
51,0.9921,0.9722
52,0.9927,0.9726
53,0.9917,0.9701
54,0.9914,0.9729
55,0.9922,0.9713
56,0.9925,0.9715
57,0.9952,0.9735
58,0.9916,0.9728
59,0.9931,0.9708
60,0.9912,0.9731
61,0.9915,0.9727
62,0.9951,0.9751
63,0.9940,0.9742
64,0.9930,0.9739
65,0.9939,0.9734
66,0.9947,0.9738
67,0.9919,0.9710
68,0.9955,0.9755
69,0.9932,0.9733
70,0.9923,0.9691
71,0.9950,0.9754
72,0.9957,0.9756
73,0.9962,0.9763
74,0.9951,0.9754
75,0.9925,0.9714
76,0.9933,0.9736
77,0.9947,0.9751
78,0.9941,0.9768
79,0.9925,0.9703
80,0.9957,0.9740
81,0.9953,0.9736
82,0.9954,0.9746
83,0.9886,0.9664
84,0.9910,0.9703
85,0.9953,0.9741
86,0.9893,0.9682
87,0.9944,0.9741
88,0.9925,0.9722
89,0.9937,0.9755
90,0.9954,0.9742
91,0.9951,0.9746
92,0.9947,0.9763
93,0.9954,0.9741
94,0.9950,0.9739
95,0.9958,0.9761
96,0.9889,0.9678
97,0.9951,0.9737
98,0.9948,0.9740
99,0.9937,0.9702
100,0.9935,0.9727
101,0.9946,0.9741
102,0.9958,0.9757
103,0.9958,0.9743
104,0.9924,0.9718
105,0.9901,0.9699
106,0.9942,0.9725
107,0.9960,0.9742
108,0.9953,0.9748
109,0.9929,0.9726
110,0.9950,0.9737
111,0.9924,0.9702
112,0.9943,0.9759
113,0.9932,0.9729
114,0.9953,0.9764
115,0.9938,0.9720
116,0.9961,0.9753
117,0.9936,0.9713
118,0.9937,0.9722
119,0.9933,0.9714
120,0.9956,0.9737
121,0.9958,0.9742
122,0.9947,0.9723
123,0.9903,0.9708
124,0.9943,0.9749
125,0.9956,0.9746
126,0.9931,0.9714
127,0.9938,0.9722
128,0.9936,0.9696
129,0.9953,0.9740
130,0.9959,0.9726
131,0.9912,0.9692
132,0.9926,0.9724
133,0.9936,0.9711
134,0.9952,0.9766
135,0.9959,0.9747
136,0.9959,0.9757
137,0.9951,0.9746
138,0.9941,0.9721
139,0.9945,0.9729
140,0.9955,0.9745
141,0.9883,0.9677
142,0.9941,0.9740
143,0.9948,0.9728
144,0.9952,0.9739
145,0.9945,0.9751
146,0.9951,0.9730
147,0.9899,0.9649
148,0.9946,0.9723
149,0.9951,0.9736
150,0.9955,0.9739
151,0.9951,0.9733
152,0.9946,0.9728
153,0.9927,0.9727
154,0.9954,0.9733
155,0.9935,0.9731
156,0.9960,0.9750
157,0.9928,0.9706
158,0.9926,0.9726
159,0.9955,0.9736
160,0.9931,0.9720
161,0.9912,0.9676
162,0.9948,0.9754
163,0.9941,0.9727
164,0.9940,0.9716
165,0.9966,0.9761
166,0.9946,0.9735
167,0.9923,0.9720
168,0.9929,0.9740
169,0.9936,0.9755
170,0.9948,0.9729
171,0.9944,0.9732
172,0.9931,0.9725
173,0.9930,0.9706
174,0.9934,0.9721
175,0.9946,0.9731
176,0.9940,0.9717
177,0.9958,0.9750
178,0.9941,0.9725
179,0.9946,0.9731
180,0.9905,0.9685
181,0.9899,0.9682
182,0.9953,0.9755
183,0.9919,0.9680
184,0.9960,0.9741
185,0.9947,0.9725
186,0.9952,0.9748
187,0.9939,0.9715
188,0.9962,0.9747
189,0.9913,0.9694
190,0.9939,0.9728
191,0.9926,0.9721
192,0.9926,0.9701
193,0.9928,0.9692
194,0.9957,0.9755
195,0.9939,0.9737
196,0.9943,0.9742
197,0.9953,0.9740
198,0.9940,0.9724
199,0.9967,0.9768
200,0.9940,0.9706
