Epoch,Training Accuracy,Test Accuracy
1,0.9596,0.9544
2,0.9709,0.9643
3,0.9752,0.9658
4,0.9750,0.9622
5,0.9760,0.9662
6,0.9776,0.9676
7,0.9821,0.9697
8,0.9813,0.9695
9,0.9807,0.9677
10,0.9832,0.9701
11,0.9836,0.9707
12,0.9877,0.9713
13,0.9801,0.9652
14,0.9861,0.9710
15,0.9852,0.9703
16,0.9785,0.9639
17,0.9875,0.9724
18,0.9872,0.9713
19,0.9869,0.9707
20,0.9833,0.9683
21,0.9901,0.9745
22,0.9903,0.9750
23,0.9918,0.9761
24,0.9888,0.9705
25,0.9927,0.9731
26,0.9872,0.9709
27,0.9917,0.9737
28,0.9905,0.9750
29,0.9915,0.9720
30,0.9913,0.9724
31,0.9922,0.9740
32,0.9919,0.9756
33,0.9901,0.9715
34,0.9940,0.9761
35,0.9935,0.9743
36,0.9923,0.9740
37,0.9902,0.9722
38,0.9931,0.9745
39,0.9928,0.9760
40,0.9923,0.9732
41,0.9927,0.9706
42,0.9910,0.9712
43,0.9916,0.9714
44,0.9933,0.9701
45,0.9932,0.9723
46,0.9938,0.9748
47,0.9915,0.9716
48,0.9928,0.9742
49,0.9930,0.9739
50,0.9945,0.9765
51,0.9942,0.9762
52,0.9945,0.9742
53,0.9951,0.9761
54,0.9940,0.9749
55,0.9918,0.9743
56,0.9932,0.9742
57,0.9935,0.9748
58,0.9942,0.9760
59,0.9941,0.9734
60,0.9953,0.9765
61,0.9947,0.9753
62,0.9931,0.9743
63,0.9922,0.9709
64,0.9941,0.9736
65,0.9930,0.9728
66,0.9926,0.9747
67,0.9926,0.9729
68,0.9927,0.9693
69,0.9921,0.9741
70,0.9955,0.9756
71,0.9956,0.9752
72,0.9957,0.9756
73,0.9937,0.9737
74,0.9953,0.9766
75,0.9922,0.9709
76,0.9945,0.9737
77,0.9964,0.9777
78,0.9956,0.9756
79,0.9933,0.9733
80,0.9927,0.9725
81,0.9949,0.9748
82,0.9930,0.9738
83,0.9926,0.9711
84,0.9956,0.9756
85,0.9942,0.9762
86,0.9928,0.9708
87,0.9944,0.9739
88,0.9968,0.9768
89,0.9917,0.9709
90,0.9944,0.9743
91,0.9953,0.9735
92,0.9960,0.9753
93,0.9936,0.9725
94,0.9924,0.9728
95,0.9942,0.9742
96,0.9963,0.9789
97,0.9954,0.9738
98,0.9959,0.9758
99,0.9957,0.9757
100,0.9960,0.9740
101,0.9932,0.9726
102,0.9921,0.9721
103,0.9946,0.9724
104,0.9919,0.9697
105,0.9928,0.9697
106,0.9915,0.9688
107,0.9969,0.9762
108,0.9950,0.9730
109,0.9935,0.9732
110,0.9932,0.9736
111,0.9958,0.9756
112,0.9896,0.9663
113,0.9934,0.9708
114,0.9940,0.9704
115,0.9941,0.9732
116,0.9923,0.9714
117,0.9940,0.9705
118,0.9946,0.9728
119,0.9958,0.9723
120,0.9961,0.9732
121,0.9941,0.9720
122,0.9909,0.9681
123,0.9950,0.9741
124,0.9946,0.9728
125,0.9942,0.9705
126,0.9948,0.9730
127,0.9943,0.9708
128,0.9936,0.9712
129,0.9918,0.9696
130,0.9953,0.9746
131,0.9914,0.9709
132,0.9950,0.9738
133,0.9944,0.9753
134,0.9950,0.9735
135,0.9965,0.9761
136,0.9951,0.9733
137,0.9945,0.9727
138,0.9921,0.9690
139,0.9925,0.9720
140,0.9937,0.9728
141,0.9932,0.9713
142,0.9928,0.9703
143,0.9962,0.9739
144,0.9936,0.9711
145,0.9933,0.9717
146,0.9940,0.9723
147,0.9940,0.9714
148,0.9942,0.9728
149,0.9931,0.9718
150,0.9941,0.9732
151,0.9954,0.9734
152,0.9962,0.9743
153,0.9902,0.9685
154,0.9925,0.9697
155,0.9952,0.9731
156,0.9951,0.9726
157,0.9937,0.9701
158,0.9934,0.9708
159,0.9941,0.9725
160,0.9939,0.9700
161,0.9944,0.9719
162,0.9935,0.9751
163,0.9948,0.9732
164,0.9943,0.9711
165,0.9923,0.9721
166,0.9947,0.9724
167,0.9949,0.9717
168,0.9909,0.9688
169,0.9922,0.9723
170,0.9911,0.9715
171,0.9949,0.9740
172,0.9944,0.9709
173,0.9901,0.9700
174,0.9948,0.9725
175,0.9921,0.9693
176,0.9918,0.9705
177,0.9952,0.9727
178,0.9938,0.9723
179,0.9932,0.9710
180,0.9924,0.9729
181,0.9932,0.9724
182,0.9914,0.9717
183,0.9954,0.9775
184,0.9942,0.9736
185,0.9954,0.9769
186,0.9897,0.9686
187,0.9930,0.9732
188,0.9939,0.9715
189,0.9933,0.9742
190,0.9942,0.9722
191,0.9944,0.9733
192,0.9926,0.9712
193,0.9918,0.9688
194,0.9932,0.9697
195,0.9945,0.9729
196,0.9951,0.9731
197,0.9952,0.9740
198,0.9929,0.9714
199,0.9914,0.9697
200,0.9952,0.9742
