Epoch,Training Accuracy,Test Accuracy
1,0.9417,0.9358
2,0.9607,0.9539
3,0.9722,0.9611
4,0.9671,0.9573
5,0.9758,0.9653
6,0.9717,0.9597
7,0.9796,0.9669
8,0.9792,0.9675
9,0.9763,0.9650
10,0.9775,0.9651
11,0.9790,0.9672
12,0.9805,0.9682
13,0.9780,0.9660
14,0.9843,0.9695
15,0.9830,0.9673
16,0.9822,0.9665
17,0.9815,0.9651
18,0.9855,0.9681
19,0.9871,0.9720
20,0.9809,0.9662
21,0.9820,0.9685
22,0.9885,0.9726
23,0.9875,0.9701
24,0.9825,0.9681
25,0.9838,0.9678
26,0.9864,0.9694
27,0.9893,0.9720
28,0.9899,0.9728
29,0.9896,0.9723
30,0.9896,0.9714
31,0.9885,0.9685
32,0.9901,0.9709
33,0.9905,0.9717
34,0.9906,0.9727
35,0.9859,0.9699
36,0.9895,0.9712
37,0.9907,0.9725
38,0.9906,0.9716
39,0.9861,0.9708
40,0.9803,0.9661
41,0.9867,0.9711
42,0.9911,0.9745
43,0.9844,0.9703
44,0.9847,0.9689
45,0.9906,0.9734
46,0.9898,0.9731
47,0.9775,0.9624
48,0.9878,0.9705
49,0.9826,0.9667
50,0.9902,0.9745
51,0.9838,0.9669
52,0.9888,0.9710
53,0.9897,0.9752
54,0.9889,0.9693
55,0.9899,0.9714
56,0.9887,0.9702
57,0.9901,0.9706
58,0.9914,0.9732
59,0.9921,0.9733
60,0.9935,0.9737
61,0.9916,0.9741
62,0.9833,0.9664
63,0.9877,0.9709
64,0.9907,0.9728
65,0.9941,0.9734
66,0.9909,0.9733
67,0.9932,0.9709
68,0.9839,0.9671
69,0.9855,0.9696
70,0.9882,0.9686
71,0.9916,0.9706
72,0.9909,0.9696
73,0.9906,0.9718
74,0.9927,0.9703
75,0.9878,0.9689
76,0.9837,0.9670
77,0.9857,0.9667
78,0.9909,0.9717
79,0.9913,0.9719
80,0.9926,0.9738
81,0.9896,0.9706
82,0.9916,0.9706
83,0.9934,0.9737
84,0.9935,0.9732
85,0.9896,0.9710
86,0.9842,0.9650
87,0.9838,0.9665
88,0.9862,0.9658
89,0.9912,0.9697
90,0.9911,0.9704
91,0.9891,0.9682
92,0.9911,0.9704
93,0.9945,0.9737
94,0.9923,0.9717
95,0.9824,0.9661
96,0.9842,0.9660
97,0.9746,0.9576
98,0.9867,0.9658
99,0.9785,0.9629
100,0.9822,0.9660
101,0.9867,0.9693
102,0.9911,0.9720
103,0.9930,0.9743
104,0.9930,0.9717
105,0.9924,0.9731
106,0.9907,0.9719
107,0.9920,0.9721
108,0.9911,0.9713
109,0.9920,0.9721
110,0.9931,0.9719
111,0.9942,0.9734
112,0.9859,0.9679
113,0.9871,0.9657
114,0.9713,0.9515
115,0.9858,0.9689
116,0.9859,0.9655
117,0.9901,0.9701
118,0.9858,0.9673
119,0.9934,0.9739
120,0.9886,0.9680
121,0.9889,0.9694
122,0.9905,0.9695
123,0.9926,0.9728
124,0.9907,0.9689
125,0.9925,0.9719
126,0.9927,0.9707
127,0.9952,0.9746
128,0.9936,0.9717
129,0.9924,0.9719
130,0.9915,0.9692
131,0.9784,0.9596
132,0.9857,0.9669
133,0.9826,0.9612
134,0.9910,0.9707
135,0.9930,0.9730
136,0.9859,0.9648
137,0.9875,0.9662
138,0.9899,0.9694
139,0.9922,0.9714
140,0.9935,0.9738
141,0.9930,0.9717
142,0.9895,0.9696
143,0.9951,0.9725
144,0.9909,0.9681
145,0.9911,0.9724
146,0.9937,0.9713
147,0.9912,0.9708
148,0.9859,0.9628
149,0.9866,0.9671
150,0.9800,0.9617
151,0.9639,0.9485
152,0.9836,0.9637
153,0.9826,0.9636
154,0.9786,0.9624
155,0.9833,0.9641
156,0.9875,0.9678
157,0.9857,0.9659
158,0.9872,0.9663
159,0.9780,0.9599
160,0.9883,0.9671
161,0.9697,0.9529
162,0.9800,0.9604
163,0.9807,0.9626
164,0.9789,0.9598
165,0.9840,0.9620
166,0.9850,0.9685
167,0.9879,0.9681
168,0.9814,0.9631
169,0.9867,0.9663
170,0.9802,0.9606
171,0.8866,0.8689
172,0.8814,0.8654
173,0.8822,0.8638
174,0.9265,0.9072
175,0.9007,0.8802
176,0.9695,0.9464
177,0.8710,0.8505
178,0.8747,0.8557
179,0.8787,0.8560
180,0.8872,0.8654
181,0.8868,0.8674
182,0.8844,0.8658
183,0.8786,0.8602
184,0.8655,0.8436
185,0.8283,0.8102
186,0.8772,0.8571
187,0.8784,0.8593
188,0.8607,0.8443
189,0.8816,0.8633
190,0.8689,0.8474
191,0.8619,0.8497
192,0.8850,0.8667
193,0.8807,0.8633
194,0.8832,0.8644
195,0.8781,0.8616
196,0.8780,0.8616
197,0.8739,0.8552
198,0.8821,0.8648
199,0.8799,0.8605
200,0.8858,0.8659
