Epoch,Training Accuracy,Test Accuracy
1,0.8552,0.8596
2,0.9184,0.9200
3,0.9327,0.9290
4,0.9408,0.9351
5,0.9462,0.9412
6,0.9485,0.9423
7,0.9415,0.9352
8,0.9583,0.9495
9,0.9596,0.9488
10,0.9594,0.9516
11,0.9602,0.9530
12,0.9590,0.9522
13,0.9637,0.9522
14,0.9624,0.9524
15,0.9648,0.9535
16,0.9650,0.9535
17,0.9626,0.9518
18,0.9634,0.9530
19,0.9655,0.9513
20,0.9637,0.9504
21,0.9653,0.9523
22,0.9672,0.9539
23,0.9654,0.9541
24,0.9645,0.9480
25,0.9673,0.9530
26,0.9682,0.9505
27,0.9685,0.9531
28,0.9681,0.9525
29,0.9707,0.9540
30,0.9734,0.9574
31,0.9694,0.9528
32,0.9680,0.9527
33,0.9702,0.9508
34,0.9681,0.9513
35,0.9678,0.9530
36,0.9739,0.9559
37,0.9729,0.9557
38,0.9750,0.9568
39,0.9697,0.9512
40,0.9693,0.9509
41,0.9714,0.9549
42,0.9663,0.9440
43,0.9725,0.9523
44,0.9724,0.9502
45,0.9759,0.9571
46,0.9691,0.9522
47,0.9736,0.9546
48,0.9740,0.9528
49,0.9719,0.9536
50,0.9733,0.9535
51,0.9744,0.9514
52,0.9743,0.9526
53,0.9757,0.9541
54,0.9751,0.9564
55,0.9718,0.9508
56,0.9732,0.9521
57,0.9727,0.9530
58,0.9729,0.9547
59,0.9752,0.9534
60,0.9758,0.9536
61,0.9759,0.9523
62,0.9767,0.9529
63,0.9730,0.9539
64,0.9772,0.9557
65,0.9719,0.9505
66,0.9738,0.9513
67,0.9756,0.9527
68,0.9789,0.9552
69,0.9795,0.9554
70,0.9755,0.9529
71,0.9757,0.9520
72,0.9752,0.9546
73,0.9796,0.9561
74,0.9783,0.9550
75,0.9752,0.9520
76,0.9781,0.9523
77,0.9800,0.9541
78,0.9767,0.9513
79,0.9749,0.9514
80,0.9756,0.9520
81,0.9788,0.9529
82,0.9773,0.9531
83,0.9781,0.9505
84,0.9768,0.9516
85,0.9777,0.9559
86,0.9790,0.9529
87,0.9776,0.9522
88,0.9782,0.9525
89,0.9746,0.9483
90,0.9809,0.9545
91,0.9758,0.9501
92,0.9782,0.9532
93,0.9759,0.9489
94,0.9757,0.9510
95,0.9803,0.9532
96,0.9807,0.9527
97,0.9806,0.9528
98,0.9793,0.9516
99,0.9797,0.9529
100,0.9738,0.9486
101,0.9795,0.9515
102,0.9790,0.9515
103,0.9774,0.9502
104,0.9789,0.9507
105,0.9819,0.9542
106,0.9775,0.9506
107,0.9818,0.9541
108,0.9766,0.9472
109,0.9801,0.9507
110,0.9784,0.9497
111,0.9787,0.9500
112,0.9784,0.9538
113,0.9798,0.9512
114,0.9801,0.9509
115,0.9787,0.9525
116,0.9791,0.9529
117,0.9799,0.9514
118,0.9792,0.9508
119,0.9799,0.9501
120,0.9825,0.9518
121,0.9821,0.9532
122,0.9793,0.9524
123,0.9780,0.9525
124,0.9827,0.9526
125,0.9824,0.9524
126,0.9800,0.9516
127,0.9830,0.9520
128,0.9808,0.9520
129,0.9812,0.9510
130,0.9809,0.9507
131,0.9827,0.9490
132,0.9795,0.9501
133,0.9830,0.9528
134,0.9804,0.9499
135,0.9794,0.9509
136,0.9794,0.9507
137,0.9799,0.9526
138,0.9813,0.9502
139,0.9819,0.9528
140,0.9776,0.9474
141,0.9826,0.9518
142,0.9802,0.9526
143,0.9814,0.9536
144,0.9797,0.9487
145,0.9783,0.9471
146,0.9806,0.9497
147,0.9825,0.9509
148,0.9823,0.9525
149,0.9791,0.9492
150,0.9817,0.9508
151,0.9810,0.9490
152,0.9811,0.9509
153,0.9799,0.9489
154,0.9836,0.9527
155,0.9823,0.9517
156,0.9789,0.9507
157,0.9833,0.9524
158,0.9819,0.9523
159,0.9814,0.9511
160,0.9801,0.9502
161,0.9832,0.9506
162,0.9808,0.9485
163,0.9789,0.9494
164,0.9818,0.9495
165,0.9824,0.9525
166,0.9796,0.9491
167,0.9786,0.9493
168,0.9825,0.9499
169,0.9816,0.9493
170,0.9839,0.9499
171,0.9823,0.9534
172,0.9813,0.9503
173,0.9830,0.9496
174,0.9799,0.9488
175,0.9834,0.9515
176,0.9806,0.9482
177,0.9790,0.9499
178,0.9810,0.9493
179,0.9822,0.9503
180,0.9805,0.9506
181,0.9729,0.9437
182,0.9800,0.9491
183,0.9845,0.9511
184,0.9836,0.9519
185,0.9849,0.9520
186,0.9826,0.9482
187,0.9805,0.9472
188,0.9834,0.9506
189,0.9814,0.9509
190,0.9839,0.9491
191,0.9804,0.9485
192,0.9842,0.9508
193,0.9826,0.9499
194,0.9833,0.9499
195,0.9826,0.9506
196,0.9841,0.9499
197,0.9843,0.9504
198,0.9760,0.9457
199,0.9849,0.9497
200,0.9837,0.9515
