Epoch,Training Accuracy,Test Accuracy
1,0.9470,0.9446
2,0.9604,0.9559
3,0.9664,0.9567
4,0.9684,0.9621
5,0.9685,0.9593
6,0.9748,0.9640
7,0.9677,0.9555
8,0.9772,0.9649
9,0.9786,0.9647
10,0.9791,0.9678
11,0.9810,0.9683
12,0.9807,0.9676
13,0.9835,0.9700
14,0.9862,0.9702
15,0.9842,0.9694
16,0.9732,0.9554
17,0.9828,0.9684
18,0.9840,0.9700
19,0.9864,0.9700
20,0.9807,0.9677
21,0.9866,0.9719
22,0.9787,0.9645
23,0.9872,0.9703
24,0.9879,0.9710
25,0.9882,0.9708
26,0.9865,0.9698
27,0.9868,0.9699
28,0.9860,0.9690
29,0.9857,0.9690
30,0.9846,0.9660
31,0.9867,0.9683
32,0.9896,0.9710
33,0.9894,0.9685
34,0.9892,0.9703
35,0.9884,0.9697
36,0.9912,0.9702
37,0.9899,0.9713
38,0.9849,0.9667
39,0.9886,0.9694
40,0.9901,0.9735
41,0.9874,0.9666
42,0.9898,0.9708
43,0.9916,0.9707
44,0.9862,0.9677
45,0.9888,0.9687
46,0.9864,0.9662
47,0.9881,0.9680
48,0.9918,0.9727
49,0.9929,0.9729
50,0.9909,0.9690
51,0.9881,0.9692
52,0.9814,0.9627
53,0.9906,0.9710
54,0.9874,0.9644
55,0.9872,0.9659
56,0.9885,0.9685
57,0.9893,0.9692
58,0.9923,0.9705
59,0.9925,0.9716
60,0.9907,0.9707
61,0.9884,0.9692
62,0.9836,0.9619
63,0.9869,0.9650
64,0.9931,0.9713
65,0.9902,0.9677
66,0.9881,0.9671
67,0.9875,0.9666
68,0.9863,0.9674
69,0.9917,0.9699
70,0.9906,0.9700
71,0.9889,0.9679
72,0.9875,0.9672
73,0.9887,0.9677
74,0.9908,0.9692
75,0.9859,0.9645
76,0.9900,0.9667
77,0.9902,0.9698
78,0.9914,0.9691
79,0.9926,0.9718
80,0.9876,0.9683
81,0.9825,0.9619
82,0.9853,0.9622
83,0.9908,0.9695
84,0.9841,0.9633
85,0.9906,0.9691
86,0.9908,0.9676
87,0.9881,0.9672
88,0.9888,0.9693
89,0.9874,0.9639
90,0.9912,0.9675
91,0.9804,0.9585
92,0.9858,0.9625
93,0.9866,0.9639
94,0.9891,0.9679
95,0.9892,0.9684
96,0.9911,0.9694
97,0.9886,0.9677
98,0.9906,0.9691
99,0.9896,0.9675
100,0.9903,0.9660
101,0.9878,0.9655
102,0.9888,0.9660
103,0.9907,0.9678
104,0.9793,0.9568
105,0.9878,0.9631
106,0.9877,0.9664
107,0.9865,0.9678
108,0.9878,0.9695
109,0.9907,0.9675
110,0.9921,0.9693
111,0.9826,0.9588
112,0.9877,0.9660
113,0.9913,0.9694
114,0.9714,0.9514
115,0.9855,0.9630
116,0.9857,0.9645
117,0.9903,0.9658
118,0.9905,0.9658
119,0.9910,0.9662
120,0.9885,0.9645
121,0.9877,0.9632
122,0.9736,0.9530
123,0.9875,0.9638
124,0.9777,0.9553
125,0.9885,0.9664
126,0.9861,0.9631
127,0.9841,0.9594
128,0.9888,0.9653
129,0.9881,0.9637
130,0.9829,0.9576
131,0.9744,0.9511
132,0.9804,0.9570
133,0.9864,0.9619
134,0.9865,0.9642
135,0.9801,0.9556
136,0.9832,0.9602
137,0.9800,0.9595
138,0.9789,0.9543
139,0.9868,0.9636
140,0.9866,0.9617
141,0.9847,0.9629
142,0.9771,0.9540
143,0.9816,0.9578
144,0.9731,0.9486
145,0.9821,0.9583
146,0.9866,0.9633
147,0.9843,0.9616
148,0.9792,0.9566
149,0.9826,0.9614
150,0.9824,0.9610
151,0.9527,0.9319
152,0.9808,0.9594
153,0.9809,0.9571
154,0.9802,0.9581
155,0.9875,0.9647
156,0.9705,0.9489
157,0.9768,0.9525
158,0.9632,0.9397
159,0.9802,0.9568
160,0.9776,0.9525
161,0.9776,0.9526
162,0.9840,0.9616
163,0.9790,0.9565
164,0.9678,0.9462
165,0.9792,0.9584
166,0.9683,0.9483
167,0.9831,0.9623
168,0.9804,0.9582
169,0.9822,0.9575
170,0.9642,0.9439
171,0.9727,0.9491
172,0.9778,0.9529
173,0.9820,0.9604
174,0.9810,0.9574
175,0.9777,0.9559
176,0.9819,0.9601
177,0.9859,0.9639
178,0.9606,0.9394
179,0.9751,0.9534
180,0.9763,0.9526
181,0.9727,0.9493
182,0.9754,0.9546
183,0.9811,0.9594
184,0.9815,0.9562
185,0.9801,0.9590
186,0.9736,0.9532
187,0.9769,0.9557
188,0.9779,0.9571
189,0.9717,0.9502
190,0.9651,0.9415
191,0.9699,0.9486
192,0.9726,0.9487
193,0.9721,0.9502
194,0.9654,0.9459
195,0.9801,0.9584
196,0.9798,0.9601
197,0.9710,0.9498
198,0.9683,0.9499
199,0.9640,0.9452
200,0.9784,0.9579
