Epoch,Training Accuracy,Test Accuracy
1,0.9065,0.9051
2,0.9074,0.9067
3,0.9163,0.9120
4,0.9156,0.9105
5,0.9176,0.9094
6,0.9179,0.9149
7,0.9237,0.9142
8,0.9231,0.9144
9,0.9206,0.9111
10,0.9232,0.9160
11,0.9259,0.9188
12,0.9270,0.9199
13,0.9229,0.9167
14,0.9261,0.9203
15,0.9235,0.9152
16,0.9275,0.9196
17,0.9254,0.9184
18,0.9247,0.9188
19,0.9269,0.9178
20,0.9263,0.9207
21,0.9310,0.9242
22,0.9271,0.9198
23,0.9285,0.9219
24,0.9285,0.9193
25,0.9302,0.9218
26,0.9295,0.9207
27,0.9286,0.9190
28,0.9323,0.9222
29,0.9293,0.9210
30,0.9319,0.9226
31,0.9331,0.9234
32,0.9355,0.9232
33,0.9355,0.9245
34,0.9346,0.9236
35,0.9316,0.9224
36,0.9292,0.9212
37,0.9335,0.9247
38,0.9328,0.9216
39,0.9355,0.9240
40,0.9314,0.9202
41,0.9373,0.9251
42,0.9357,0.9235
43,0.9339,0.9229
44,0.9358,0.9256
45,0.9327,0.9212
46,0.9340,0.9213
47,0.9350,0.9251
48,0.9372,0.9245
49,0.9365,0.9230
50,0.9330,0.9195
51,0.9352,0.9228
52,0.9353,0.9220
53,0.9351,0.9236
54,0.9366,0.9228
55,0.9335,0.9203
56,0.9339,0.9231
57,0.9356,0.9211
58,0.9370,0.9238
59,0.9345,0.9218
60,0.9384,0.9218
61,0.9379,0.9262
62,0.9337,0.9207
63,0.9323,0.9173
64,0.9323,0.9192
65,0.9364,0.9212
66,0.9358,0.9231
67,0.9364,0.9225
68,0.9373,0.9207
69,0.9375,0.9262
70,0.9354,0.9228
71,0.9271,0.9165
72,0.9368,0.9245
73,0.9388,0.9228
74,0.9365,0.9213
75,0.9358,0.9241
76,0.9315,0.9181
77,0.9340,0.9244
78,0.9374,0.9222
79,0.9338,0.9186
80,0.9355,0.9215
81,0.9381,0.9225
82,0.9352,0.9200
83,0.9370,0.9225
84,0.9333,0.9209
85,0.9389,0.9227
86,0.9360,0.9195
87,0.9381,0.9236
88,0.9363,0.9218
89,0.9365,0.9218
90,0.9372,0.9208
91,0.9393,0.9250
92,0.9389,0.9223
93,0.9330,0.9198
94,0.9379,0.9237
95,0.9372,0.9227
96,0.9391,0.9217
97,0.9397,0.9252
98,0.9390,0.9220
99,0.9376,0.9207
100,0.9372,0.9216
101,0.9369,0.9239
102,0.9389,0.9237
103,0.9363,0.9212
104,0.9385,0.9243
105,0.9342,0.9181
106,0.9378,0.9212
107,0.9392,0.9228
108,0.9324,0.9154
109,0.9396,0.9211
110,0.9332,0.9199
111,0.9390,0.9202
112,0.9378,0.9207
113,0.9372,0.9175
114,0.9374,0.9230
115,0.9396,0.9223
116,0.9383,0.9240
117,0.9367,0.9213
118,0.9344,0.9188
119,0.9394,0.9226
120,0.9360,0.9216
121,0.9368,0.9202
122,0.9370,0.9184
123,0.9356,0.9205
124,0.9338,0.9185
125,0.9381,0.9218
126,0.9365,0.9205
127,0.9378,0.9236
128,0.9384,0.9206
129,0.9348,0.9170
130,0.9373,0.9212
131,0.9386,0.9222
132,0.9368,0.9220
133,0.9389,0.9206
134,0.9359,0.9214
135,0.9362,0.9218
136,0.9347,0.9183
137,0.9389,0.9222
138,0.9389,0.9241
139,0.9392,0.9217
140,0.9362,0.9198
141,0.9400,0.9223
142,0.9364,0.9186
143,0.9411,0.9231
144,0.9358,0.9209
145,0.9358,0.9196
146,0.9347,0.9157
147,0.9399,0.9224
148,0.9354,0.9184
149,0.9346,0.9185
150,0.9385,0.9224
151,0.9385,0.9214
152,0.9371,0.9179
153,0.9356,0.9214
154,0.9382,0.9214
155,0.9364,0.9187
156,0.9358,0.9169
157,0.9369,0.9224
158,0.9365,0.9174
159,0.9372,0.9187
160,0.9375,0.9205
161,0.9377,0.9212
162,0.9401,0.9214
163,0.9209,0.9086
164,0.9324,0.9176
165,0.9376,0.9209
166,0.9381,0.9199
167,0.9397,0.9236
168,0.9394,0.9222
169,0.9339,0.9166
170,0.9395,0.9237
171,0.9328,0.9179
172,0.9366,0.9202
173,0.9352,0.9177
174,0.9369,0.9185
175,0.9393,0.9201
176,0.9382,0.9219
177,0.9389,0.9214
178,0.9367,0.9220
179,0.9337,0.9177
180,0.9364,0.9178
181,0.9363,0.9191
182,0.9373,0.9178
183,0.9360,0.9198
184,0.9358,0.9159
185,0.9392,0.9215
186,0.9377,0.9192
187,0.9393,0.9205
188,0.9377,0.9192
189,0.9373,0.9193
190,0.9404,0.9217
191,0.9403,0.9204
192,0.9352,0.9158
193,0.9351,0.9175
194,0.9372,0.9197
195,0.9368,0.9175
196,0.9368,0.9164
197,0.9382,0.9208
198,0.9406,0.9210
199,0.9376,0.9183
200,0.9409,0.9216
