Config,Final Train Acc,Final Test Acc,Avg Train Acc,Avg Test Acc,Execution Time,Execution Time (min)
[4-32-256-2048],0.8960833333333333,0.8812,0.8869604166666667,0.8756790000000001,2165.297941684723,36.088299028078715
[2048-256-32-4],0.2038166666666666,0.2096,0.6754300000000001,0.6673075,6646.347771406174,110.77246285676956
[329-329-329-329],0.4752,0.4706,0.8094661666666667,0.7979305,1909.867655277252,31.8311275879542
[32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32-32],0.1123666666666666,0.1135,0.111188,0.1120584999999999,708.6705696582794,11.811176160971323
[1024-1024-1024-1024-1024-1024-1024-1024],0.1123666666666666,0.1135,0.2400966666666666,0.2407355,23149.41184592247,385.8235307653745
