Epoch,Training Accuracy,Test Accuracy
1,0.9665,0.9590
2,0.9652,0.9581
3,0.9774,0.9684
4,0.9816,0.9680
5,0.9850,0.9710
6,0.9861,0.9731
7,0.9852,0.9710
8,0.9857,0.9713
9,0.9855,0.9723
10,0.9879,0.9732
11,0.9871,0.9696
12,0.9867,0.9722
13,0.9884,0.9720
14,0.9892,0.9744
15,0.9899,0.9730
16,0.9920,0.9761
17,0.9932,0.9774
18,0.9913,0.9747
19,0.9935,0.9734
20,0.9929,0.9756
21,0.9939,0.9753
22,0.9918,0.9748
23,0.9946,0.9755
24,0.9919,0.9738
25,0.9941,0.9751
26,0.9944,0.9752
27,0.9913,0.9759
28,0.9953,0.9776
29,0.9942,0.9732
30,0.9950,0.9765
31,0.9964,0.9766
32,0.9945,0.9773
33,0.9960,0.9771
34,0.9943,0.9752
35,0.9961,0.9751
36,0.9970,0.9781
37,0.9946,0.9757
38,0.9966,0.9770
39,0.9963,0.9755
40,0.9948,0.9724
41,0.9960,0.9769
42,0.9959,0.9771
43,0.9955,0.9740
44,0.9963,0.9749
45,0.9965,0.9749
46,0.9974,0.9780
47,0.9956,0.9758
48,0.9977,0.9775
49,0.9966,0.9762
50,0.9978,0.9780
51,0.9959,0.9763
52,0.9960,0.9771
53,0.9963,0.9764
54,0.9971,0.9787
55,0.9983,0.9793
56,0.9962,0.9767
57,0.9969,0.9778
58,0.9976,0.9747
59,0.9978,0.9790
60,0.9982,0.9780
61,0.9966,0.9762
62,0.9951,0.9752
63,0.9980,0.9771
64,0.9981,0.9789
65,0.9984,0.9799
66,0.9979,0.9767
67,0.9967,0.9764
68,0.9976,0.9767
69,0.9986,0.9781
70,0.9968,0.9753
71,0.9978,0.9789
72,0.9977,0.9777
73,0.9965,0.9760
74,0.9978,0.9754
75,0.9980,0.9772
76,0.9980,0.9773
77,0.9972,0.9742
78,0.9971,0.9765
79,0.9983,0.9779
80,0.9986,0.9782
81,0.9984,0.9774
82,0.9987,0.9760
83,0.9982,0.9769
84,0.9980,0.9765
85,0.9988,0.9777
86,0.9991,0.9774
87,0.9981,0.9765
88,0.9984,0.9756
89,0.9978,0.9746
90,0.9963,0.9754
91,0.9977,0.9767
92,0.9972,0.9766
93,0.9987,0.9777
94,0.9982,0.9789
95,0.9980,0.9762
96,0.9988,0.9771
97,0.9988,0.9778
98,0.9988,0.9784
99,0.9984,0.9786
100,0.9982,0.9775
101,0.9992,0.9795
102,0.9988,0.9776
103,0.9990,0.9781
104,0.9980,0.9763
105,0.9986,0.9784
106,0.9987,0.9782
107,0.9984,0.9769
108,0.9989,0.9771
109,0.9988,0.9785
110,0.9990,0.9777
111,0.9987,0.9766
112,0.9982,0.9780
113,0.9984,0.9786
114,0.9985,0.9783
115,0.9989,0.9788
116,0.9988,0.9778
117,0.9992,0.9772
118,0.9990,0.9786
119,0.9986,0.9771
120,0.9990,0.9772
121,0.9994,0.9788
122,0.9990,0.9790
123,0.9985,0.9764
124,0.9987,0.9785
125,0.9977,0.9780
126,0.9990,0.9780
127,0.9993,0.9793
128,0.9980,0.9782
129,0.9989,0.9802
130,0.9989,0.9801
131,0.9989,0.9794
132,0.9987,0.9801
133,0.9991,0.9793
134,0.9991,0.9795
135,0.9989,0.9797
136,0.9992,0.9777
137,0.9992,0.9793
138,0.9989,0.9788
139,0.9991,0.9781
140,0.9985,0.9772
141,0.9991,0.9795
142,0.9994,0.9794
143,0.9996,0.9792
144,0.9988,0.9780
145,0.9989,0.9789
146,0.9996,0.9778
147,0.9994,0.9784
148,0.9983,0.9774
149,0.9993,0.9776
150,0.9992,0.9773
151,0.9992,0.9781
152,0.9985,0.9781
153,0.9984,0.9763
154,0.9992,0.9782
155,0.9987,0.9791
156,0.9988,0.9781
157,0.9996,0.9794
158,0.9993,0.9777
159,0.9990,0.9787
160,0.9990,0.9792
161,0.9992,0.9769
162,0.9990,0.9770
163,0.9989,0.9783
164,0.9995,0.9798
165,0.9989,0.9776
166,0.9988,0.9775
167,0.9986,0.9773
168,0.9993,0.9802
169,0.9990,0.9782
170,0.9990,0.9777
171,0.9995,0.9796
172,0.9990,0.9787
173,0.9994,0.9788
174,0.9993,0.9794
175,0.9995,0.9809
176,0.9987,0.9803
177,0.9992,0.9797
178,0.9994,0.9806
179,0.9984,0.9792
180,0.9994,0.9793
181,0.9992,0.9799
182,0.9987,0.9794
183,0.9994,0.9801
184,0.9995,0.9798
185,0.9990,0.9767
186,0.9990,0.9774
187,0.9988,0.9784
188,0.9991,0.9794
189,0.9993,0.9782
190,0.9990,0.9793
191,0.9993,0.9795
192,0.9998,0.9801
193,0.9991,0.9808
194,0.9991,0.9793
195,0.9995,0.9789
196,0.9993,0.9779
197,0.9992,0.9788
198,0.9994,0.9792
199,0.9995,0.9794
200,0.9994,0.9783
