Epoch,Training Accuracy,Test Accuracy
1,0.9360,0.9282
2,0.9516,0.9434
3,0.9587,0.9532
4,0.9577,0.9510
5,0.9622,0.9513
6,0.9515,0.9432
7,0.9655,0.9543
8,0.9709,0.9622
9,0.9688,0.9580
10,0.9682,0.9572
11,0.9683,0.9565
12,0.9606,0.9501
13,0.9703,0.9570
14,0.9711,0.9574
15,0.9744,0.9608
16,0.9738,0.9616
17,0.9760,0.9629
18,0.9759,0.9601
19,0.9740,0.9608
20,0.9759,0.9613
21,0.9762,0.9631
22,0.9802,0.9655
23,0.9805,0.9638
24,0.9738,0.9584
25,0.9713,0.9574
26,0.9811,0.9649
27,0.9784,0.9621
28,0.9738,0.9575
29,0.9813,0.9662
30,0.9805,0.9647
31,0.9820,0.9653
32,0.9805,0.9641
33,0.9799,0.9620
34,0.9753,0.9599
35,0.9812,0.9631
36,0.9834,0.9645
37,0.9830,0.9642
38,0.9675,0.9544
39,0.9816,0.9645
40,0.9831,0.9644
41,0.9835,0.9615
42,0.9859,0.9668
43,0.9843,0.9667
44,0.9865,0.9671
45,0.9802,0.9606
46,0.9850,0.9639
47,0.9838,0.9657
48,0.9862,0.9689
49,0.9816,0.9653
50,0.9797,0.9606
51,0.9842,0.9653
52,0.9818,0.9642
53,0.9854,0.9664
54,0.9830,0.9636
55,0.9860,0.9669
56,0.9876,0.9672
57,0.9835,0.9672
58,0.9847,0.9651
59,0.9853,0.9642
60,0.9880,0.9687
61,0.9844,0.9619
62,0.9858,0.9634
63,0.9881,0.9679
64,0.9865,0.9660
65,0.9778,0.9583
66,0.9821,0.9633
67,0.9868,0.9667
68,0.9820,0.9629
69,0.9843,0.9629
70,0.9832,0.9631
71,0.9857,0.9653
72,0.9776,0.9606
73,0.9745,0.9530
74,0.9814,0.9619
75,0.9819,0.9610
76,0.9869,0.9647
77,0.9854,0.9646
78,0.9864,0.9646
79,0.9836,0.9636
80,0.9850,0.9619
81,0.9898,0.9660
82,0.9894,0.9676
83,0.9868,0.9661
84,0.9827,0.9641
85,0.9866,0.9651
86,0.9874,0.9668
87,0.9875,0.9651
88,0.9788,0.9579
89,0.9871,0.9645
90,0.9869,0.9635
91,0.9806,0.9596
92,0.9863,0.9653
93,0.9787,0.9568
94,0.9759,0.9543
95,0.9795,0.9606
96,0.9775,0.9600
97,0.9784,0.9536
98,0.9822,0.9626
99,0.9839,0.9646
100,0.9807,0.9587
101,0.9818,0.9627
102,0.9852,0.9660
103,0.9875,0.9656
104,0.9588,0.9395
105,0.9572,0.9393
106,0.9663,0.9476
107,0.9575,0.9400
108,0.9573,0.9399
109,0.9669,0.9515
110,0.9724,0.9553
111,0.9651,0.9469
112,0.9736,0.9564
113,0.9807,0.9612
114,0.9831,0.9633
115,0.9841,0.9647
116,0.9748,0.9548
117,0.9810,0.9637
118,0.9775,0.9592
119,0.9740,0.9568
120,0.9840,0.9639
121,0.9698,0.9499
122,0.9788,0.9602
123,0.9774,0.9589
124,0.9660,0.9443
125,0.9798,0.9598
126,0.9855,0.9644
127,0.9686,0.9512
128,0.9832,0.9618
129,0.9842,0.9644
130,0.9876,0.9660
131,0.9791,0.9584
132,0.9764,0.9558
133,0.9828,0.9621
134,0.9611,0.9424
135,0.9413,0.9210
136,0.9733,0.9559
137,0.9759,0.9577
138,0.9779,0.9571
139,0.9836,0.9617
140,0.9821,0.9609
141,0.9792,0.9597
142,0.9746,0.9527
143,0.9686,0.9485
144,0.9604,0.9418
145,0.9743,0.9557
146,0.9832,0.9612
147,0.9818,0.9589
148,0.9748,0.9577
149,0.9697,0.9552
150,0.9736,0.9536
151,0.9808,0.9594
152,0.9762,0.9565
153,0.9621,0.9399
154,0.9795,0.9583
155,0.9565,0.9399
156,0.9543,0.9374
157,0.9758,0.9567
158,0.9781,0.9588
159,0.9772,0.9594
160,0.9713,0.9540
161,0.9802,0.9625
162,0.9786,0.9615
163,0.8811,0.8687
164,0.9770,0.9599
165,0.9690,0.9532
166,0.9685,0.9508
167,0.9789,0.9621
168,0.9628,0.9482
169,0.9787,0.9599
170,0.9742,0.9570
171,0.9650,0.9487
172,0.9692,0.9548
173,0.9502,0.9352
174,0.9747,0.9560
175,0.9773,0.9576
176,0.9598,0.9448
177,0.9506,0.9313
178,0.9700,0.9510
179,0.9742,0.9557
180,0.9699,0.9535
181,0.9749,0.9577
182,0.9732,0.9572
183,0.9730,0.9552
184,0.9731,0.9569
185,0.9733,0.9572
186,0.9752,0.9578
187,0.9674,0.9493
188,0.8858,0.8701
189,0.8907,0.8740
190,0.8889,0.8743
191,0.8832,0.8695
192,0.8837,0.8681
193,0.8921,0.8774
194,0.8855,0.8723
195,0.8814,0.8671
196,0.8925,0.8793
197,0.8848,0.8728
198,0.8858,0.8717
199,0.8932,0.8823
200,0.8923,0.8779
