Epoch,Training Accuracy,Test Accuracy
1,0.9469,0.9459
2,0.9626,0.9580
3,0.9638,0.9567
4,0.9675,0.9620
5,0.9733,0.9634
6,0.9710,0.9629
7,0.9757,0.9661
8,0.9781,0.9673
9,0.9780,0.9648
10,0.9762,0.9652
11,0.9759,0.9633
12,0.9763,0.9648
13,0.9821,0.9673
14,0.9805,0.9658
15,0.9829,0.9690
16,0.9851,0.9708
17,0.9827,0.9665
18,0.9858,0.9700
19,0.9823,0.9695
20,0.9842,0.9693
21,0.9843,0.9678
22,0.9800,0.9665
23,0.9842,0.9678
24,0.9864,0.9711
25,0.9879,0.9720
26,0.9878,0.9722
27,0.9875,0.9720
28,0.9858,0.9704
29,0.9883,0.9727
30,0.9862,0.9724
31,0.9869,0.9712
32,0.9877,0.9734
33,0.9829,0.9680
34,0.9875,0.9713
35,0.9880,0.9726
36,0.9900,0.9732
37,0.9881,0.9718
38,0.9903,0.9731
39,0.9882,0.9705
40,0.9875,0.9718
41,0.9758,0.9593
42,0.9818,0.9680
43,0.9855,0.9704
44,0.9906,0.9734
45,0.9899,0.9719
46,0.9900,0.9708
47,0.9842,0.9702
48,0.9885,0.9725
49,0.9905,0.9721
50,0.9871,0.9697
51,0.9744,0.9605
52,0.9717,0.9590
53,0.9898,0.9744
54,0.9808,0.9648
55,0.9864,0.9688
56,0.9890,0.9714
57,0.9841,0.9653
58,0.9763,0.9603
59,0.9915,0.9742
60,0.9892,0.9741
61,0.9879,0.9714
62,0.9878,0.9712
63,0.9734,0.9577
64,0.9874,0.9709
65,0.9890,0.9711
66,0.9898,0.9723
67,0.9858,0.9690
68,0.9835,0.9664
69,0.9806,0.9646
70,0.9730,0.9572
71,0.9671,0.9537
72,0.9829,0.9670
73,0.9735,0.9575
74,0.9865,0.9697
75,0.9892,0.9720
76,0.9894,0.9716
77,0.9737,0.9586
78,0.9803,0.9613
79,0.9874,0.9673
80,0.9710,0.9526
81,0.9710,0.9555
82,0.9860,0.9692
83,0.9755,0.9579
84,0.9875,0.9693
85,0.9882,0.9702
86,0.9775,0.9593
87,0.9887,0.9692
88,0.9900,0.9703
89,0.9780,0.9591
90,0.9583,0.9417
91,0.9770,0.9606
92,0.9768,0.9585
93,0.9786,0.9618
94,0.9735,0.9569
95,0.9724,0.9571
96,0.9357,0.9212
97,0.9740,0.9561
98,0.9865,0.9672
99,0.9764,0.9608
100,0.9805,0.9640
101,0.9833,0.9675
102,0.9820,0.9643
103,0.9683,0.9548
104,0.9739,0.9590
105,0.9643,0.9480
106,0.9794,0.9648
107,0.9792,0.9653
108,0.9252,0.9153
109,0.9644,0.9479
110,0.9721,0.9565
111,0.8323,0.8204
112,0.8644,0.8549
113,0.7786,0.7688
114,0.7637,0.7553
115,0.7363,0.7270
116,0.7722,0.7609
117,0.7652,0.7530
118,0.8475,0.8372
119,0.8610,0.8519
120,0.8415,0.8289
121,0.7690,0.7592
122,0.7587,0.7457
123,0.7766,0.7680
124,0.7835,0.7706
125,0.7847,0.7753
126,0.8049,0.7876
127,0.7850,0.7741
128,0.7918,0.7782
129,0.7937,0.7800
130,0.6868,0.6795
131,0.7814,0.7683
132,0.7045,0.6918
133,0.6786,0.6705
134,0.6872,0.6774
135,0.6887,0.6814
136,0.6797,0.6714
137,0.6726,0.6660
138,0.6834,0.6765
139,0.6775,0.6722
140,0.6865,0.6794
141,0.6914,0.6846
142,0.7394,0.7340
143,0.6010,0.5942
144,0.6385,0.6300
145,0.5327,0.5300
146,0.5402,0.5377
147,0.5606,0.5607
148,0.5791,0.5726
149,0.5231,0.5130
150,0.5231,0.5119
151,0.5301,0.5193
152,0.5738,0.5666
153,0.5632,0.5605
154,0.5737,0.5676
155,0.5408,0.5370
156,0.5684,0.5618
157,0.5656,0.5593
158,0.5581,0.5529
159,0.5804,0.5730
160,0.5849,0.5781
161,0.5707,0.5644
162,0.5707,0.5621
163,0.5718,0.5643
164,0.5694,0.5570
165,0.5729,0.5612
166,0.5815,0.5761
167,0.4019,0.3985
168,0.4771,0.4685
169,0.4848,0.4764
170,0.4852,0.4794
171,0.4831,0.4764
172,0.4884,0.4801
173,0.4873,0.4861
174,0.4701,0.4712
175,0.5227,0.5151
176,0.4837,0.4830
177,0.4962,0.4890
178,0.4257,0.4224
179,0.4679,0.4673
180,0.4784,0.4807
181,0.4872,0.4834
182,0.4766,0.4702
183,0.4826,0.4786
184,0.4932,0.4894
185,0.4992,0.4924
186,0.5389,0.5396
187,0.4663,0.4574
188,0.4652,0.4605
189,0.4794,0.4701
190,0.5414,0.5338
191,0.5277,0.5190
192,0.4554,0.4522
193,0.4673,0.4646
194,0.4748,0.4761
195,0.4682,0.4704
196,0.4680,0.4649
197,0.4755,0.4713
198,0.4737,0.4780
199,0.4755,0.4743
200,0.4752,0.4706
