Epoch,Training Accuracy,Test Accuracy
1,0.9476,0.9456
2,0.9626,0.9578
3,0.9712,0.9622
4,0.9802,0.9720
5,0.9812,0.9699
6,0.9751,0.9637
7,0.9806,0.9682
8,0.9760,0.9667
9,0.9838,0.9709
10,0.9824,0.9675
11,0.9845,0.9707
12,0.9877,0.9723
13,0.9877,0.9738
14,0.9811,0.9668
15,0.9809,0.9673
16,0.9879,0.9724
17,0.9869,0.9715
18,0.9856,0.9704
19,0.9897,0.9738
20,0.9862,0.9701
21,0.9825,0.9682
22,0.9817,0.9675
23,0.9825,0.9690
24,0.9874,0.9742
25,0.9839,0.9692
26,0.9755,0.9643
27,0.8872,0.8752
28,0.8833,0.8748
29,0.8884,0.8755
30,0.8916,0.8797
31,0.8924,0.8768
32,0.9875,0.9724
33,0.9769,0.9638
34,0.9882,0.9732
35,0.9748,0.9610
36,0.9848,0.9724
37,0.9852,0.9704
38,0.9837,0.9703
39,0.9884,0.9736
40,0.9854,0.9720
41,0.9760,0.9616
42,0.9793,0.9643
43,0.9791,0.9624
44,0.9851,0.9701
45,0.9881,0.9734
46,0.9851,0.9722
47,0.9855,0.9692
48,0.9875,0.9708
49,0.9854,0.9712
50,0.9849,0.9717
51,0.9822,0.9692
52,0.9880,0.9739
53,0.9881,0.9719
54,0.9864,0.9725
55,0.9873,0.9740
56,0.9856,0.9696
57,0.9852,0.9705
58,0.9779,0.9644
59,0.9721,0.9552
60,0.9778,0.9632
61,0.8760,0.8638
62,0.7829,0.7737
63,0.7825,0.7729
64,0.7787,0.7699
65,0.7737,0.7672
66,0.7819,0.7653
67,0.8573,0.8439
68,0.8706,0.8578
69,0.8797,0.8691
70,0.8798,0.8679
71,0.9283,0.9143
72,0.9756,0.9629
73,0.8797,0.8645
74,0.6834,0.6770
75,0.6821,0.6709
76,0.6965,0.6897
77,0.7870,0.7747
78,0.8670,0.8524
79,0.8752,0.8587
80,0.8796,0.8662
81,0.8851,0.8696
82,0.7799,0.7726
83,0.7975,0.7859
84,0.8809,0.8633
85,0.8825,0.8667
86,0.8790,0.8624
87,0.8890,0.8748
88,0.8853,0.8683
89,0.8899,0.8734
90,0.7920,0.7771
91,0.5853,0.5762
92,0.6324,0.6314
93,0.6735,0.6655
94,0.5951,0.5875
95,0.6745,0.6653
96,0.6710,0.6573
97,0.6914,0.6810
98,0.6712,0.6579
99,0.6861,0.6769
100,0.6926,0.6816
101,0.7877,0.7786
102,0.7894,0.7796
103,0.7923,0.7807
104,0.7861,0.7758
105,0.6912,0.6809
106,0.6747,0.6639
107,0.6863,0.6738
108,0.5896,0.5801
109,0.6751,0.6593
110,0.6776,0.6682
111,0.6805,0.6669
112,0.6835,0.6721
113,0.6912,0.6797
114,0.6874,0.6772
115,0.6595,0.6532
116,0.6585,0.6489
117,0.6470,0.6414
118,0.6635,0.6486
119,0.6912,0.6780
120,0.6846,0.6745
121,0.6935,0.6809
122,0.6774,0.6647
123,0.6686,0.6580
124,0.5879,0.5767
125,0.6008,0.5923
126,0.5870,0.5806
127,0.5914,0.5793
128,0.5945,0.5891
129,0.6001,0.5896
130,0.5752,0.5719
131,0.5967,0.5881
132,0.5967,0.5913
133,0.6560,0.6458
134,0.6750,0.6725
135,0.6868,0.6783
136,0.6844,0.6804
137,0.6865,0.6811
138,0.6738,0.6701
139,0.7032,0.6893
140,0.7540,0.7412
141,0.7808,0.7693
142,0.7845,0.7730
143,0.7567,0.7432
144,0.7854,0.7757
145,0.7863,0.7757
146,0.7848,0.7743
147,0.7855,0.7745
148,0.6702,0.6573
149,0.6844,0.6715
150,0.6937,0.6784
151,0.6934,0.6805
152,0.2969,0.2899
153,0.2105,0.2163
154,0.2120,0.2123
155,0.2079,0.2120
156,0.2064,0.2067
157,0.1965,0.1978
158,0.2089,0.2089
159,0.1966,0.1975
160,0.2111,0.2118
161,0.2096,0.2101
162,0.2096,0.2098
163,0.2096,0.2098
164,0.1983,0.1965
165,0.1983,0.1965
166,0.2104,0.2109
167,0.2005,0.2013
168,0.2065,0.2119
169,0.2076,0.2131
170,0.1935,0.2011
171,0.2038,0.2096
172,0.1957,0.1973
173,0.2038,0.2096
174,0.1884,0.1934
175,0.2038,0.2096
176,0.1957,0.1973
177,0.2038,0.2096
178,0.1906,0.1922
179,0.2038,0.2096
180,0.1862,0.1916
181,0.2038,0.2096
182,0.2038,0.2096
183,0.1906,0.1922
184,0.2038,0.2096
185,0.1804,0.1854
186,0.2038,0.2096
187,0.2038,0.2096
188,0.1908,0.1971
189,0.2038,0.2096
190,0.2038,0.2096
191,0.2038,0.2096
192,0.2038,0.2096
193,0.1957,0.1973
194,0.2038,0.2096
195,0.2038,0.2096
196,0.2038,0.2096
197,0.2038,0.2096
198,0.2038,0.2096
199,0.2038,0.2096
200,0.2038,0.2096
