Epoch,Training Accuracy,Test Accuracy
1,0.8118,0.8103
2,0.8723,0.8718
3,0.8849,0.8780
4,0.8827,0.8800
5,0.9014,0.8930
6,0.9033,0.8965
7,0.9011,0.8951
8,0.9031,0.8969
9,0.9051,0.8946
10,0.9085,0.9051
11,0.9101,0.9008
12,0.9108,0.9017
13,0.9144,0.9038
14,0.9112,0.9032
15,0.9099,0.9003
16,0.9126,0.9045
17,0.9091,0.8977
18,0.9050,0.8976
19,0.9160,0.9040
20,0.9154,0.9070
21,0.9131,0.9040
22,0.9141,0.9008
23,0.9167,0.9040
24,0.9183,0.9040
25,0.9176,0.9044
26,0.9130,0.8999
27,0.9145,0.9037
28,0.9150,0.9016
29,0.9099,0.8965
30,0.9201,0.9062
31,0.9087,0.8979
32,0.9165,0.9023
33,0.9203,0.9041
34,0.9188,0.9007
35,0.9211,0.9067
36,0.9202,0.9049
37,0.9235,0.9070
38,0.9188,0.9041
39,0.9101,0.8961
40,0.9143,0.8996
41,0.9209,0.9066
42,0.9207,0.9036
43,0.9193,0.9049
44,0.9176,0.9057
45,0.9171,0.9017
46,0.9141,0.9000
47,0.9218,0.9021
48,0.9212,0.9061
49,0.9216,0.9033
50,0.9202,0.9058
51,0.9191,0.9033
52,0.9190,0.9062
53,0.9219,0.9064
54,0.9238,0.9080
55,0.9221,0.9054
56,0.9210,0.9023
57,0.9185,0.9004
58,0.9173,0.9009
59,0.9194,0.9031
60,0.9175,0.9008
61,0.9118,0.8971
62,0.9230,0.9057
63,0.9254,0.9065
64,0.9218,0.9021
65,0.9252,0.9064
66,0.9221,0.9019
67,0.9228,0.9031
68,0.9229,0.9034
69,0.9204,0.9007
70,0.9205,0.9014
71,0.9189,0.9013
72,0.9253,0.9040
73,0.9133,0.8965
74,0.9253,0.9060
75,0.9203,0.9032
76,0.9227,0.9050
77,0.9146,0.9004
78,0.9209,0.8986
79,0.9175,0.8985
80,0.9238,0.9047
81,0.9230,0.9048
82,0.9274,0.9071
83,0.9200,0.9005
84,0.9227,0.9031
85,0.9233,0.9055
86,0.9260,0.9090
87,0.9237,0.9031
88,0.9246,0.9063
89,0.9163,0.8964
90,0.9182,0.8983
91,0.9214,0.9010
92,0.9265,0.9085
93,0.9252,0.9055
94,0.9225,0.9057
95,0.9281,0.9060
96,0.9198,0.9007
97,0.9248,0.9060
98,0.9194,0.8985
99,0.9261,0.9051
100,0.9214,0.9019
101,0.9247,0.9038
102,0.9240,0.9041
103,0.9179,0.9002
104,0.9240,0.9033
105,0.9199,0.9053
106,0.9231,0.9045
107,0.9222,0.9037
108,0.9205,0.8979
109,0.9196,0.9010
110,0.9231,0.9022
111,0.9299,0.9067
112,0.9222,0.9017
113,0.9258,0.9045
114,0.9255,0.9030
115,0.9264,0.9064
116,0.9278,0.9036
117,0.9222,0.9021
118,0.9154,0.8994
119,0.9260,0.9034
120,0.9253,0.9040
121,0.9195,0.9014
122,0.9255,0.9024
123,0.9257,0.9019
124,0.9218,0.9003
125,0.9190,0.8996
126,0.9284,0.9083
127,0.9277,0.9065
128,0.9252,0.9036
129,0.9249,0.9027
130,0.9259,0.9030
131,0.9239,0.9007
132,0.9249,0.9030
133,0.9218,0.9007
134,0.9266,0.9054
135,0.9253,0.9045
136,0.9255,0.9049
137,0.9255,0.9064
138,0.9232,0.9060
139,0.9268,0.9046
140,0.9235,0.9011
141,0.9242,0.9050
142,0.9250,0.9022
143,0.9180,0.8984
144,0.9284,0.9071
145,0.9270,0.9048
146,0.9230,0.9026
147,0.9280,0.9071
148,0.9153,0.8942
149,0.9227,0.9017
150,0.9125,0.8909
151,0.9274,0.9065
152,0.9253,0.9047
153,0.9240,0.8994
154,0.9265,0.9024
155,0.9268,0.9043
156,0.9259,0.9012
157,0.9266,0.9019
158,0.9216,0.8982
159,0.9226,0.8993
160,0.9188,0.8976
161,0.9254,0.9022
162,0.9230,0.9001
163,0.9253,0.9017
164,0.9245,0.9047
165,0.9288,0.9051
166,0.9224,0.9031
167,0.9255,0.9021
168,0.9201,0.8974
169,0.9257,0.9025
170,0.9287,0.9026
171,0.9284,0.9042
172,0.9240,0.8994
173,0.9257,0.9013
174,0.9239,0.9007
175,0.9264,0.9011
176,0.9284,0.9029
177,0.9279,0.9045
178,0.9276,0.9041
179,0.9230,0.9004
180,0.9241,0.9018
181,0.9262,0.9039
182,0.9280,0.9041
183,0.9253,0.9026
184,0.9216,0.9010
185,0.9221,0.8987
186,0.9266,0.9022
187,0.9282,0.9034
188,0.9273,0.9042
189,0.9263,0.9032
190,0.9167,0.8944
191,0.9278,0.9035
192,0.9242,0.8979
193,0.9250,0.9020
194,0.9240,0.8999
195,0.9278,0.9045
196,0.9283,0.9049
197,0.9252,0.9012
198,0.9285,0.9018
199,0.9207,0.8991
200,0.9221,0.8990
